"PLAN","SPECIES","168","169"
"largO","abrmac",4,2 
"lanaO","abuere",4,3 
"oahpO","abusan",3,2 
"prraO","accstr",2,3 
"oahtO","achlil",3,2 
"nighO","acrlus",4,2 
"sensO","aesvir",2,2 
"dwweO","alahet",4,4 
"maplO","alemac",4,4 
"kauaO","alslyc",4,3 
"oahpO","alsobo",2,2 
"kauaO","alsvis",4,2 
"prpaO","amavit",3,1 
"ashmO","ambama",4,3 
"ozarR","ambros",4,3 
"sonoR","antame",2,2 
"antiR","apomor",3,3 
"raveO","archoo",4,3 
"dwbeO","archum",5,3 
"fourO","arcmor",3,3 
"maunO","argsan",4,2 
"anthO","athant",5,4 
"virgR","betube",3,3 
"flscR","bongra",3,2 
"aleuR","bracan",3,2 
"cavpO","brasan",3,3 
"kaupO","briins",3,2 
"palmO","calriv",4,3 
"grayO","canlup",1,1 
"eastR","canlup",2,2 
"redwR","canruf",3,2 
"ashmO","cennam",4,3 
"cuiuR","chacuj",2,1 
"pineO","chagar",4,3 
"oahpO","charoc",4,2 
"flogO","chrflo",4,2 
"nortO","cicdor",2,3 
"maskR","colvir",4,1 
"hawcO","corhaw",3,1 
"amcrR","croacu",3,2 
"newmO","crowil",4,4 
"sccyO","cupabr",3,2 
"moloO","cyaman",4,3 
"biplO","cyashi",5,2 
"fishR","cypfor",4,3 
"kauaO","cyrcya",4,1 
"biplO","cyrgif",5,2 
"oahpO","cyrvir",4,2 
"kirtR","denkir",3,3 
"flomO","dicchr",4,5 
"tennR","echten",2,2 
"tarrR","ellste",3,2 
"cavpO","eryari",3,3 
"antiR","erycap",5,4 
"flscR","erycun",3,2 
"seveO","erymen",4,3 
"threO","eryter",4,3 
"slacO","ethbos",3,3 
"edwaR","ethfon",2,3 
"wateR","ethnuc",3,3 
"okalO","ethoka",4,3 
"bayoR","ethrub",2,3 
"maryR","ethsel",4,4 
"elseO","eupbat",3,2 
"edwaR","eurnan",2,2 
"pereO","falper",2,1 
"ampeO","falper",3,2 
"hawwR","fulame",3,2 
"lanaO","gahlan",3,1 
"hawwR","galchl",3,3 
"edwaR","gamgeo",4,1 
"hawgO","garbri",3,1 
"unarR","gasacu",3,3 
"maplO","gerarb",4,3 
"humpR","gilcyp",3,4 
"bonyR","gilele",4,2 
"chihO","gilnig",3,2 
"fishR","gilpur",3,2 
"whooR","gruame",1,1 
"missR","grucan",3,2 
"cacoR","gymcal",2,1 
"gnomO","gymlin",5,3 
"todsO","hedtod",3,1 
"oahpO","hesarb",4,3 
"moloO","hibarn",4,1 
"kaupO","hibcla",4,2 
"kauaO","hibwoo",4,1 
"hawwR","himmex",3,2 
"flscO","hypcum",3,2 
"smalR","isomed",3,2 
"beacO","jacrec",3,2 
"oahpO","labcyr",4,1 
"pinkO","lamabr",4,3 
"snakO","lanxsp",5,2 
"caroO","lasdec",4,2 
"praiO","leslep",3,2 
"flscR","liaohl",3,1 
"kaupO","lipfau",4,2 
"oahpO","loboah",4,2 
"flscR","lupari",3,2 
"lotiO","lycarg",5,4 
"roleO","lysasp",3,2 
"apalO","macalb",4,3 
"mohrO","marmoh",3,3 
"kaupO","melpal",4,3 
"oahpO","melsai",4,2 
"armaO","miccal",4,3 
"hualO","micmex",4,4 
"blacR","musnig",3,1 
"kaufO","myapal",4,4 
"woodO","mycame",3,2 
"indiR","myosod",3,3 
"oahpO","nothum",2,3 
"capeO","notmek",4,3 
"neosO","notpla",3,3 
"ringO","oboret",4,2 
"keydR","odvicl",2,2 
"coluR","odvile",2,3 
"antiR","oendel",3,2 
"arizR","oncapa",2,3 
"grcuR","onccla",1,1 
"gilaR","oncgil",2,2 
"nashR","orcsho",4,2 
"flscR","parcha",3,3 
"mamoO","parfla",1,1 
"bradO","pedbra",4,3 
"furbR","pedfur",2,1 
"prcrO","pellem",2,2 
"anasO","perpol",2,2 
"snaiR","pertan",3,3 
"lanaO","phygla",4,3 
"biadO","phyrac",4,4 
"redcR","picbor",2,2 
"ropiO","pleple",4,4 
"shenO","pleshe",3,3 
"fishR","poeocc",4,2 
"cavpO","pognud",3,2 
"flscR","polbas",3,3 
"fatpR","potcap",4,3 
"littO","potcly",4,2 
"flscR","prugen",3,3 
"guamO","ptemar",3,4 
"harpO","ptinod",3,3 
"coloR","ptyluc",3,3 
"flopR","pumcon",3,2 
"alamO","pyrneo",4,2 
"tombO","quasta",4,3 
"saltO","raloob",3,2 
"yumaO","raloyu",4,3 
"selkR","rantar",1,2 
"kendO","rhiosc",4,3 
"chapO","rhocha",2,2 
"everR","rossoc",2,2 
"grpiR","sarore",3,2 
"pallO","scaalb",3,1 
"maplO","schhal",4,2 
"oahpO","schkaa",4,2 
"oahpO","schkea",4,2 
"kaupO","schspe",5,3 
"delmR","scinig",2,2 
"enruO","soldry",4,3 
"hougO","solhou",4,3 
"alabR","spepou",4,3 
"caleO","steant",2,2 
"kaupO","stecam",5,3 
"mexiO","strocc",2,3 
"loweO","sylpal",2,2 
"lanaO","tetrem",4,3 
"karsO","texred",4,4 
"coolO","thacoo",2,2 
"pedaO","theste",4,2 
"soccO","thethe",3,2 
"prfeO","theyau",4,2 
"westR","triman",3,3 
"bariO","tritri",4,1 
"attwR","tymcup",3,2 
"grizR","ursarc",2,3 
"flscR","warcar",3,3 
"cachO","xanriv",2,2 
"flscR","zizcel",3,2 
"edwaR","ziztex",3,2 
