"PLAN","SPECIES","89A","90A","91A","92A","93A","94A","95A","96A","97A","98A","99A","100A","101A","102A","103A","104A","105A","106A","107A","108A","109A","110A","111A","112A","113A","114A","115A","116A","117A","118A","119A","120A","121A","122A","123A","124A","125A","126A"
"largO","abrmac",1,2,-2,-2,-2,1,1,1,1,3,3,1,1,1,3,3,3,3,3,1,1,3,1,3,1,-2,2,3,3,3,-2,-2,-2,-2,1,3,1,3 
"lanaO","abuere",1,1,-2,-2,-2,1,1,1,1,3,3,1,-2,1,-2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,-2,-2,3,1,1,1,3 
"oahpO","abusan",1,1,-2,-2,-2,3,3,1,1,3,3,1,1,3,3,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,3,3,3,3 
"prraO","accstr",1,1,2,1,3,1,1,1,1,1,3,1,1,1,3,1,3,3,3,3,1,3,1,2,3,3,3,3,3,3,2,1,3,3,2,3,3,3 
"oahtO","achlil",1,1,1,3,-2,1,1,1,1,3,1,1,3,1,-2,1,3,3,1,1,1,1,3,3,3,3,3,3,3,3,1,3,1,3,1,1,3,1 
"nighO","acrlus",1,1,3,3,-2,1,1,1,1,3,3,1,1,1,1,1,3,3,3,1,1,3,3,3,3,1,3,1,3,3,3,1,1,1,1,1,1,3 
"sensO","aesvir",1,1,-2,-2,-2,1,1,1,1,3,3,1,1,1,1,1,3,3,1,1,1,1,1,-2,3,3,3,3,3,3,3,-2,-2,3,1,3,3,1 
"dwweO","alahet",1,1,-2,-2,-2,1,1,1,1,1,-2,1,1,1,-2,-2,-2,-2,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
"maplO","alemac",1,1,-2,-2,-2,1,1,1,1,1,-2,1,1,1,-2,2,2,-2,1,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2 
"kauaO","alslyc",1,1,-2,-2,-2,1,1,1,1,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,1,3,3 
"oahpO","alsobo",1,1,-2,-2,-2,3,3,1,3,-1,-1,1,1,3,3,-2,-2,-2,3,3,3,3,3,3,3,3,3,3,3,3,3,-2,-2,-2,3,3,3,3 
"kauaO","alsvis",1,1,-2,-2,-2,1,3,1,1,3,3,1,1,3,-2,2,3,3,2,2,2,2,2,2,-2,3,2,2,3,-2,3,3,3,3,1,1,3,-2 
"prpaO","amavit",1,1,1,1,1,1,1,1,1,3,3,1,3,1,3,1,2,3,3,1,1,1,1,3,3,3,1,3,3,3,3,1,1,3,1,1,1,3 
"ashmO","ambama",1,1,3,3,-2,3,1,1,1,3,-2,3,3,3,-2,2,3,-2,2,2,2,2,2,2,-2,3,3,3,3,-2,3,1,1,-2,2,2,-2,-2 
"ozarR","ambros",1,1,1,3,3,1,1,1,1,3,3,3,1,1,3,3,3,3,3,1,3,3,3,3,1,3,3,1,3,3,3,3,3,3,1,1,1,3 
"sonoR","antame",1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,1,1,3,3,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,1,1,3,1 
"antiR","apomor",1,1,1,1,3,1,1,1,1,1,3,1,3,3,3,3,3,1,1,1,3,1,3,3,3,3,3,3,3,3,1,3,1,3,1,1,3,3 
"raveO","archoo",1,1,-2,-2,-2,1,1,1,1,3,-2,1,-2,-2,-2,-2,3,-2,3,1,1,3,3,3,-2,1,-2,-2,-2,1,-2,-2,-2,-2,1,3,1,-2 
"dwbeO","archum",1,1,-2,-2,-2,1,1,1,1,3,-2,3,1,2,2,2,3,-2,2,3,2,2,2,2,-2,3,3,3,3,-2,-2,-2,-2,-2,2,3,3,-2 
"fourO","arcmor",1,1,-2,-2,-2,1,1,1,1,1,3,1,3,3,3,3,3,1,1,1,1,3,3,3,1,3,3,3,3,3,1,3,3,3,1,3,1,3 
"maunO","argsan",1,1,-2,-2,-2,1,1,1,1,1,3,1,1,1,1,1,3,3,1,1,1,1,1,3,3,1,1,1,1,3,-2,-2,-2,-2,1,1,3,3 
"anthO","athant",1,1,3,3,3,1,1,1,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3 
