"PLAN","SPECIES","374BBB","375BBB","376BBB","377BBB"
"largO","abrmac",3,3,1,3 
"lanaO","abuere",-2,-2,-2,1 
"oahpO","abusan",1,1,-2,1 
"prraO","accstr",1,1,-2,2 
"oahtO","achlil",-2,-2,-2,-2 
"nighO","acrlus",1,1,1,-2 
"sensO","aesvir",2,2,2,2 
"dwweO","alahet",3,2,2,2 
"maplO","alemac",1,1,1,2 
"kauaO","alslyc",1,-2,-2,3 
"oahpO","alsobo",1,1,-2,1 
"kauaO","alsvis",1,1,1,-2 
"prpaO","amavit",2,2,2,-2 
"ashmO","ambama",-2,-2,-2,3 
"ozarR","ambros",1,1,1,-1 
"sonoR","antame",-1,-2,-1,-2 
"antiR","apomor",2,2,-2,-2 
"raveO","archoo",-2,-2,-2,3 
"dwbeO","archum",3,2,-2,2 
"fourO","arcmor",1,1,1,-2 
"maunO","argsan",2,-2,-2,2 
"anthO","athant",3,3,2,2 
"virgR","betube",2,2,-2,2 
"flscR","bongra",1,1,-2,1 
"aleuR","bracan",-2,-2,-2,1 
"cavpO","brasan",1,1,-2,-2 
"kaupO","briins",-1,-2,-2,-2 
"palmO","calriv",2,-2,-2,2 
"grayO","canlup",3,3,-2,1 
"eastR","canlup",2,2,2,2 
"redwR","canruf",2,2,2,-2 
"ashmO","cennam",1,1,-2,2 
"cuiuR","chacuj",-2,-2,-2,-2 
"pineO","chagar",3,3,-2,2 
"oahpO","charoc",-2,2,-2,2 
"flogO","chrflo",1,1,-2,2 
"nortO","cicdor",2,2,-2,2 
"maskR","colvir",1,1,1,-2 
"hawcO","corhaw",-1,-2,-1,-2 
"amcrR","croacu",3,3,-2,-2 
"newmO","crowil",1,1,-2,3 
"sccyO","cupabr",1,1,1,-2 
"moloO","cyaman",1,-2,3,-2 
"biplO","cyashi",-2,-2,-2,-1 
"fishR","cypfor",2,2,2,2 
"kauaO","cyrcya",1,1,-2,-2 
"biplO","cyrgif",-2,-2,-2,-1 
"oahpO","cyrvir",1,-2,-2,-2 
"kirtR","denkir",-2,2,-2,-1 
"flomO","dicchr",-2,2,2,-2 
"tennR","echten",3,3,1,-2 
"tarrR","ellste",3,3,3,2 
"cavpO","eryari",1,-2,-2,-2 
"antiR","erycap",3,1,-2,-2 
"flscR","erycun",1,1,-2,1 
"seveO","erymen",3,1,1,1 
"threO","eryter",2,2,2,-2 
"slacO","ethbos",2,2,2,2 
"edwaR","ethfon",1,-2,3,3 
"wateR","ethnuc",-2,-2,-2,3 
"okalO","ethoka",-2,-2,-2,-2 
"bayoR","ethrub",1,1,-2,1 
"maryR","ethsel",1,1,-2,2 
"elseO","eupbat",2,-2,2,2 
"edwaR","eurnan",1,1,1,2 
"pereO","falper",3,3,3,3 
"ampeO","falper",3,3,-2,3 
"hawwR","fulame",3,3,3,2 
"lanaO","gahlan",2,2,-2,-2 
"hawwR","galchl",2,2,1,2 
"edwaR","gamgeo",3,3,3,3 
"hawgO","garbri",-2,-2,-2,-2 
"unarR","gasacu",1,1,1,-1 
"maplO","gerarb",1,-2,-2,2 
"humpR","gilcyp",3,3,-2,2 
"bonyR","gilele",2,2,-2,2 
"chihO","gilnig",1,1,1,-2 
"fishR","gilpur",1,1,1,-2 
"whooR","gruame",3,3,3,3 
"missR","grucan",3,-2,-2,3 
"cacoR","gymcal",1,1,-2,1 
"gnomO","gymlin",2,2,-2,1 
"todsO","hedtod",1,1,1,1 
"oahpO","hesarb",-2,3,-2,2 
"moloO","hibarn",1,-2,3,-2 
"kaupO","hibcla",1,1,-2,1 
"kauaO","hibwoo",1,1,-2,-2 
"hawwR","himmex",3,3,2,-2 
"flscO","hypcum",1,1,1,-2 
"smalR","isomed",3,3,3,1 
"beacO","jacrec",2,2,-2,2 
"oahpO","labcyr",-2,-2,-2,-2 
"pinkO","lamabr",3,2,2,2 
"snakO","lanxsp",-2,-2,3,3 
"caroO","lasdec",1,1,-2,1 
"praiO","leslep",2,2,1,-2 
"flscR","liaohl",1,1,-2,2 
"kaupO","lipfau",1,1,-2,-1 
"oahpO","loboah",1,1,1,2 
"flscR","lupari",1,1,-2,1 
"lotiO","lycarg",2,-2,-2,2 
"roleO","lysasp",2,2,-2,2 
"apalO","macalb",-2,-2,-2,-2 
"mohrO","marmoh",-2,3,3,-2 
"kaupO","melpal",1,-2,-2,-2 
"oahpO","melsai",3,3,-2,3 
"armaO","miccal",3,3,3,-2 
"hualO","micmex",1,1,-2,-1 
"blacR","musnig",2,2,2,1 
"kaufO","myapal",3,3,-2,2 
"woodO","mycame",1,-2,-2,-2 
"indiR","myosod",3,3,3,1 
"oahpO","nothum",1,-2,1,-2 
"capeO","notmek",1,1,-2,2 
"neosO","notpla",1,1,2,2 
"ringO","oboret",3,3,3,1 
"keydR","odvicl",3,-2,2,-2 
"coluR","odvile",2,2,2,2 
"antiR","oendel",3,3,-2,-2 
"arizR","oncapa",1,1,1,1 
"grcuR","onccla",2,2,-2,-2 
"gilaR","oncgil",2,-2,-2,2 
"nashR","orcsho",1,1,1,1 
"flscR","parcha",1,1,-2,-1 
"mamoO","parfla",3,3,2,-2 
"bradO","pedbra",1,1,-2,3 
"furbR","pedfur",2,1,2,-2 
"prcrO","pellem",3,3,3,-2 
"anasO","perpol",3,3,3,3 
"snaiR","pertan",3,1,1,2 
"lanaO","phygla",3,3,1,3 
"biadO","phyrac",-2,-2,1,-2 
"redcR","picbor",2,2,2,-2 
"ropiO","pleple",2,2,-2,2 
"shenO","pleshe",3,-2,-2,-2 
"fishR","poeocc",3,3,-2,-2 
"cavpO","pognud",3,-2,3,-2 
"flscR","polbas",2,2,3,2 
"fatpR","potcap",-2,1,-2,-2 
"littO","potcly",3,3,2,-2 
"flscR","prugen",2,2,3,2 
"guamO","ptemar",3,3,-2,2 
"harpO","ptinod",1,-2,-2,-2 
"coloR","ptyluc",2,2,2,3 
"flopR","pumcon",3,3,3,3 
"alamO","pyrneo",-2,-2,2,-2 
"tombO","quasta",-2,-2,-2,2 
"saltO","raloob",1,1,-2,-2 
"yumaO","raloyu",2,2,2,2 
"selkR","rantar",3,3,3,2 
"kendO","rhiosc",2,-2,-2,2 
"chapO","rhocha",-2,-2,-2,1 
"everR","rossoc",3,3,3,-2 
"grpiR","sarore",3,-2,3,3 
"pallO","scaalb",3,3,-2,2 
"maplO","schhal",2,2,-2,2 
"oahpO","schkaa",-2,-2,-2,-2 
"oahpO","schkea",1,-2,1,-2 
"kaupO","schspe",1,1,1,-2 
"delmR","scinig",2,3,3,2 
"enruO","soldry",-2,-2,-2,2 
"hougO","solhou",3,-2,3,1 
"alabR","spepou",-2,-2,-2,-2 
"caleO","steant",2,-2,-2,2 
"kaupO","stecam",1,1,1,-2 
"mexiO","strocc",-2,-2,-2,-2 
"loweO","sylpal",3,-2,2,2 
"lanaO","tetrem",3,3,1,3 
"karsO","texred",3,3,3,3 
"coolO","thacoo",1,1,1,1 
"pedaO","theste",3,3,2,-2 
"soccO","thethe",2,2,-2,2 
"prfeO","theyau",2,2,-2,2 
"westR","triman",3,2,2,3 
"bariO","tritri",1,-2,-2,1 
"attwR","tymcup",3,3,3,2 
"grizR","ursarc",-2,1,3,3 
"flscR","warcar",2,-2,2,2 
"cachO","xanriv",-2,-2,2,-2 
"flscR","zizcel",2,-2,-2,2 
"edwaR","ziztex",2,2,2,2 
