"PLAN","SPECIES","89D","90D","91D","92D","93D","94D","95D","96D","97D","98D","99D","100D","101D","102D","103D","104D","105D","106D","107D","108D","109D","110D","111D","112D","113D","114D","115D","116D","117D","118D","119D","120D","121D","122D","123D","124D","125D","126D"
"largO","abrmac",2,-2,-2,-2,-2,2,2,0,2,-2,-2,0,2,3,-2,-2,-2,-2,-2,3,3,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2 
"lanaO","abuere",0,1,-2,-2,-2,0,0,0,0,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2 
"oahpO","abusan",0,0,-2,-2,-2,-1,-1,4,2,-1,-1,0,2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1 
"prraO","accstr",2,0,-2,0,-2,0,0,2,2,0,-2,2,2,2,-2,2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",0,0,-2,-2,-2,3,3,1,2,-2,0,0,-2,3,-2,0,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,1,-2,1,1,-2,3 
"nighO","acrlus",2,2,-2,-2,-2,2,2,1,2,-2,-2,2,2,2,1,2,-2,-2,-2,2,2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,2,2,2,2,2,2,-2 
"sensO","aesvir",5,5,-2,-2,-2,5,5,1,5,-2,-2,2,5,2,3,5,-2,-2,0,0,5,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,5 
"dwweO","alahet",3,3,-2,-2,-2,2,0,2,2,0,-2,0,2,2,-2,-2,-2,-2,3,4,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2 
"maplO","alemac",2,2,-2,-2,-2,1,1,1,1,0,-2,3,0,3,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,-2 
"kauaO","alslyc",3,3,-2,-2,-2,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,3,3,-1,-1 
"oahpO","alsobo",0,0,-2,-2,-2,-1,-1,4,-2,-1,-1,0,2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1 
"kauaO","alsvis",0,2,-2,-2,-2,2,-2,0,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"prpaO","amavit",5,0,0,1,0,1,0,4,0,-2,-2,0,-2,0,-2,0,-2,-2,-2,0,0,0,1,-2,-2,-2,1,-2,-2,-2,-2,0,0,-2,1,1,0,-2 
"ashmO","ambama",1,-2,-2,-2,-2,-2,-2,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2 
"ozarR","ambros",1,1,0,-2,-2,0,0,1,1,-2,-2,-2,1,1,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,1,-2,-2,-2,-2,-2,-2,0,0,0,-2 
"sonoR","antame",0,5,2,0,2,2,2,2,5,0,-2,2,-2,5,-2,2,2,-2,-2,0,0,4,2,-2,2,3,3,3,0,-2,-2,0,2,5,5,5,-2,5 
"antiR","apomor",0,0,3,0,-2,0,0,1,0,0,-2,3,-2,-2,-2,-2,-2,3,3,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,3,-2,3,3,-2,-2 
"raveO","archoo",1,1,-2,-2,-2,1,3,3,5,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,-2,-2,1,-2,-2,-2,0,-2,-2,-2,-2,0,-2,1,-2 
