"PLAN","SPECIES","89E","90E","91E","92E","93E","94E","95E","96E","97E","98E","99E","100E","101E","102E","103E","104E","105E","106E","107E","108E","109E","110E","111E","112E","113E","114E","115E","116E","117E","118E","119E","120E","121E","122E","123E","124E","125E","126E"
"largO","abrmac",0,-2,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,0,-2 
"lanaO","abuere",-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","abusan",-2,-2,-2,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1 
"prraO","accstr",1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",1,1,-2,-2,-2,1,1,3,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,3,-2,-2 
"nighO","acrlus",1,1,-2,-2,-2,1,1,2,3,-2,-2,1,1,1,2,3,-2,-2,-2,3,3,-2,-2,-2,-2,1,-2,1,-2,-2,-2,3,1,-2,1,1,1,-2 
"sensO","aesvir",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"dwweO","alahet",5,5,-2,-2,-2,1,0,5,5,0,-2,0,0,0,-2,-2,-2,-2,5,4,-2,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2 
"maplO","alemac",0,0,-2,-2,-2,2,2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2 
"kauaO","alslyc",-1,-1,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2 
"oahpO","alsobo",-2,-2,-2,-2,-2,-1,-1,0,1,-1,-1,-2,-2,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1 
"kauaO","alsvis",0,0,-2,-2,-2,0,-2,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2 
"prpaO","amavit",0,4,4,3,-2,0,5,0,5,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,4,-2,0,-2,-2,-2,0,-2,-2,-2,-2,5,5,-2,5,5,-2,-2 
"ashmO","ambama",0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ozarR","ambros",0,-2,-2,-2,-2,-2,-2,0,1,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
"sonoR","antame",5,-2,-2,-2,0,5,5,5,-2,3,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2 
"antiR","apomor",2,2,0,0,-2,3,3,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,-2,-2,-2 
"raveO","archoo",3,0,-2,-2,-2,3,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2 
"dwbeO","archum",0,-2,-2,-2,-2,-2,-2,3,5,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
