"PLAN","SPECIES","89F","90F","91F","92F","93F","94F","95F","96F","97F","98F","99F","100F","101F","102F","103F","104F","105F","106F","107F","108F","109F","110F","111F","112F","113F","114F","115F","116F","117F","118F","119F","120F","121F","122F","123F","124F","125F","126F"
"largO","abrmac",1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"lanaO","abuere",0,0,-2,-2,-2,0,0,0,1,-2,-2,0,-2,1,-2,-2,-2,-2,0,0,0,0,0,0,-2,0,0,0,0,-2,0,-2,-2,0,0,0,0,0 
"oahpO","abusan",1,1,-2,-2,-2,-1,-1,0,1,-1,-1,1,1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1 
"prraO","accstr",1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0 
"oahtO","achlil",1,1,0,1,0,0,1,0,1,0,1,1,-2,0,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0 
"nighO","acrlus",1,1,0,0,-2,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0 
"sensO","aesvir",1,1,-2,-2,-2,1,1,0,1,-2,-2,1,1,1,0,1,-2,-2,0,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1 
"dwweO","alahet",1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0 
"maplO","alemac",0,0,-2,-2,-2,0,0,0,0,0,-2,0,0,0,-2,0,1,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2 
"kauaO","alslyc",0,0,-2,-2,-2,1,1,0,0,1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,1,1,-1,-1 
"oahpO","alsobo",1,1,-2,-2,-2,-1,-1,1,0,-1,-1,1,1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1 
