"PLAN","SPECIES","308FF","309FF","310FF","311FF","312FF","313FF","314FF","315FF","316FF","317FF","318FF","319FF","320FF","321FF","322FF","323FF","324FF","325FF","326FF","327FF","328FF","329FF","330FF","331FF","332FF","333FF","334FF","335FF","336FF","337FF","338FF","339FF","340FF","341FF","342FF","343FF"
"largO","abrmac",0,0,4,0,5,0,1,1,0,0,3,3,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0 
"lanaO","abuere",-2,7,0,0,3,0,13,1,2,2,8,0,1,0,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"oahpO","abusan",0,2,0,0,1,-2,1,0,3,2,-2,5,0,0,1,0,0,0,0,0,-2,0,0,-2,0,-2,0,-2,-2,-1,0,0,0,-2,-2,1 
"prraO","accstr",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
"oahtO","achlil",1,1,0,0,4,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"nighO","acrlus",0,1,1,1,0,0,2,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
"sensO","aesvir",0,0,0,0,0,0,2,0,1,1,0,7,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"dwweO","alahet",0,1,0,0,0,0,0,0,0,0,2,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0 
"maplO","alemac",-2,7,-2,2,6,-2,6,2,3,3,1,9,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"kauaO","alslyc",-2,6,-2,-2,2,-2,5,-2,2,2,5,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","alsobo",0,0,0,0,0,1,0,0,3,2,-2,5,0,0,1,0,0,0,0,0,-2,0,0,-2,0,-2,0,-2,-2,-1,0,0,0,-2,-2,-2 
"kauaO","alsvis",0,5,0,0,1,0,4,0,1,1,0,1,0,0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0 
"prpaO","amavit",5,14,-2,1,17,4,1,1,2,3,2,9,1,-2,4,3,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ashmO","ambama",0,0,0,0,0,0,3,0,3,0,-2,4,1,-2,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0 
"ozarR","ambros",0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0 
"sonoR","antame",1,1,0,1,1,0,1,0,0,1,0,3,1,0,2,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"antiR","apomor",1,0,0,0,1,0,0,0,2,0,2,9,7,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0 
"raveO","archoo",0,7,7,0,7,1,2,0,3,4,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"dwbeO","archum",-2,0,0,0,0,0,0,0,0,0,-2,4,2,0,6,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,4,4,-2,1,1,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maunO","argsan",-2,0,-2,-2,-2,-2,15,-2,-2,-2,-2,15,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anthO","athant",0,4,0,1,1,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"virgR","betube",-2,0,0,0,0,0,0,1,0,2,0,0,1,1,4,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"flscR","bongra",-2,1,0,0,0,0,0,0,1,1,0,2,4,3,3,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 
"aleuR","bracan",-2,15,-2,15,3,4,2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,5,-2,-2,2,5,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","brasan",-2,1,-2,-2,1,-2,4,-2,4,-2,-2,3,8,-2,3,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,8,8,-2,-2,-2,-2,8 
"kaupO","briins",0,6,0,0,2,0,8,1,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"palmO","calriv",-2,-2,3,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"grayO","canlup",0,4,0,3,0,0,0,3,0,0,5,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 
"eastR","canlup",12,19,-2,12,-2,7,-2,3,-2,-2,-2,23,-2,12,7,-2,-2,12,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"ashmO","cennam",0,1,0,0,0,0,0,0,5,0,2,2,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"cuiuR","chacuj",0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"pineO","chagar",0,1,0,0,1,1,0,0,1,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 
"oahpO","charoc",-2,3,-2,-2,1,-2,-2,-2,3,5,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flogO","chrflo",-2,1,2,0,1,1,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"nortO","cicdor",0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"maskR","colvir",1,-1,2,2,6,-2,-2,1,-2,-2,4,10,1,1,-2,-2,-2,3,-2,-2,-2,-2,-2,14,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3 
"hawcO","corhaw",-2,5,-2,-2,3,-2,1,1,-2,-2,-2,7,-2,-2,2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"amcrR","croacu",0,0,0,0,0,2,1,0,0,0,0,8,3,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"newmO","crowil",0,0,0,0,1,2,0,0,0,0,2,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0 
"sccyO","cupabr",0,0,0,0,2,0,0,4,4,4,0,18,3,4,0,-2,-2,-2,-2,-2,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0 
"moloO","cyaman",-2,0,0,2,1,0,1,3,1,0,5,4,1,0,1,-2,-2,-2,-2,-2,-2,-2,-2,2,0,0,0,0,0,0,0,0,0,0,0,0 
"biplO","cyashi",0,4,4,2,2,0,4,1,0,1,0,3,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0 
"fishR","cypfor",-2,3,3,-2,-2,-2,2,-2,1,2,-2,7,2,8,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","cyrcya",-2,6,-2,-2,1,-2,6,1,2,1,-2,22,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"biplO","cyrgif",0,4,4,2,2,0,4,1,0,1,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"oahpO","cyrvir",-2,1,1,-2,1,-2,4,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kirtR","denkir",0,1,0,0,1,0,0,0,1,0,0,4,1,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"flomO","dicchr",-2,-2,2,-2,1,-2,-2,-2,-2,2,2,3,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2 
"tennR","echten",-2,0,4,0,2,0,0,0,0,3,2,5,2,0,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tarrR","ellste",0,1,0,1,0,0,0,0,1,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"cavpO","eryari",-2,2,-2,-2,1,-2,1,-2,4,-2,-2,3,8,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,8,8,-2,-2,-2,-2,8 
"antiR","erycap",-2,1,-2,-2,1,-2,-2,-2,1,-2,-2,1,5,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2 
"flscR","erycun",0,2,0,0,0,0,0,0,1,0,0,6,5,3,1,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,1,1,0,1,0,0,0 
"seveO","erymen",0,0,0,0,0,0,0,0,6,6,0,8,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"threO","eryter",-2,0,0,0,0,0,0,0,1,1,-1,3,4,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"slacO","ethbos",0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"edwaR","ethfon",0,0,0,0,3,0,2,1,2,2,-2,2,0,3,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,1,0,0,0,0,0,4 
"wateR","ethnuc",0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 
"okalO","ethoka",0,1,0,0,0,0,1,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"bayoR","ethrub",0,0,0,2,0,0,0,0,0,0,0,8,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0 
"maryR","ethsel",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2 
"elseO","eupbat",0,3,0,0,2,1,0,0,2,0,0,2,1,0,1,2,1,2,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0 
"edwaR","eurnan",0,0,0,0,1,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"pereO","falper",0,18,18,0,9,15,0,0,0,0,-2,9,2,0,0,3,3,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-2 
"ampeO","falper",6,5,-2,7,1,3,-2,3,-2,2,-2,6,-2,-2,9,18,3,4,-2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"hawwR","fulame",0,0,0,0,0,1,4,1,1,0,0,3,2,0,1,0,0,1,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0 
"lanaO","gahlan",-2,5,-2,-2,3,-2,6,2,4,-2,5,2,3,2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
