"PLAN","SPECIES","405FFF","406FFF","407FFF","408FFF","409FFF","410FFF","411FFF","412FFF","413FFF","414FFF","415FFF","416FFF","417FFF","418FFF","419FFF","420FFF"
"largO","abrmac",-2,2,2,-2,-2,3,3,2,-2,-2,-1,-2,-2,-2,-2,-1 
"lanaO","abuere",1,2,2,-2,-2,-1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"oahpO","abusan",-2,2,2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2 
"prraO","accstr",2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",2,2,2,3,3,3,-2,-2,-2,1,-2,-1,-2,-2,1,-2 
"sensO","aesvir",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-2,-1,-2,-2,-1,-2 
"dwweO","alahet",2,2,2,3,3,2,3,2,3,3,-2,1,3,2,3,-2 
"maplO","alemac",2,2,2,2,2,2,2,2,1,3,-2,-2,-2,3,3,-2 
"kauaO","alslyc",2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-2,-1,-2,-1 
"oahpO","alsobo",-2,2,2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",2,2,2,-2,-2,-2,2,-2,-2,1,2,-2,-2,2,-2,-2 
"prpaO","amavit",2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"ashmO","ambama",-2,-2,-2,2,-2,-2,-2,-2,1,3,-2,-2,1,-2,-2,-2 
"ozarR","ambros",-2,2,-2,2,2,2,2,-2,1,-2,-2,-2,1,-2,1,-2 
"sonoR","antame",2,1,-1,2,2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",2,-2,-2,-1,-2,-2,-1,-1,-1,2,-1,-2,-2,-1,1,-2 
"dwbeO","archum",-2,2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,3 
"maunO","argsan",-1,2,-1,1,-1,1,-1,-1,-1,1,-1,-1,-2,1,-2,-2 
"anthO","athant",-2,2,2,-2,2,2,-2,-2,1,1,3,-2,-2,-2,-2,-2 
