"PLAN","SPECIES","308GG","309GG","310GG","311GG","312GG","313GG","314GG","315GG","316GG","317GG","318GG","319GG","320GG","321GG","322GG","323GG","324GG","325GG","326GG","327GG","328GG","329GG","330GG","331GG","332GG","333GG","334GG","335GG","336GG","337GG","338GG","339GG","340GG","341GG","342GG","343GG"
"largO","abrmac",-2,-2,3,-2,1,-2,1,1,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","abuere",-2,2,-2,-2,1,-2,1,2,2,1,2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","abusan",-2,2,-2,-2,1,-2,1,-2,1,1,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"prraO","accstr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",1,3,-2,-2,1,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",-2,3,3,3,-2,-2,1,-2,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"sensO","aesvir",-2,-2,-2,-2,-2,-2,3,-2,2,2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"dwweO","alahet",-2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"maplO","alemac",-2,2,-2,2,1,-2,1,1,1,1,1,1,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"kauaO","alslyc",-2,2,-2,-2,1,-2,1,-2,1,1,2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
