"PLAN","SPECIES","130H","131H","132H","133H","134H","135H","136H","137H","138H","139H","140H","141H","142H","143H","144H","145H","146H","147H","148H","149H","150H","151H","152H","153H","154H","155H","156H","157H","158H","159H","160H","161H","162H","163H","164H","165H","166H","167H"
"largO","abrmac",2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,2,1,-2,1,2,2,2,-2,1,1,2,-2,2,2,-2,-2,-2,-2,-2,-2,1,1,1,2 
"lanaO","abuere",2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,2,-2,-2,2,2,2,2,2,2,-2,2,-2,-2,-2,-2,2,2,-2,-2,1,-2,-2,-2 
"oahpO","abusan",-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,2,-2,-2,2,2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"prraO","accstr",1,1,2,2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2 
"oahtO","achlil",1,2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,2,-2,-2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
"nighO","acrlus",1,1,-2,-2,-2,1,1,3,-2,-2,-2,1,3,1,-2,2,-2,-2,2,2,2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,2,-2,-2,1,1,-2,-2 
"sensO","aesvir",1,2,-2,-2,-2,3,3,-2,2,-2,-2,3,3,-2,-2,3,-2,3,-2,-2,3,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2 
"dwweO","alahet",1,1,1,-2,-2,1,1,-2,1,-2,-2,1,1,1,-2,1,-2,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"maplO","alemac",1,1,-2,-2,-2,1,-2,-2,1,2,2,1,1,1,-2,2,2,2,2,-2,2,2,2,2,-2,1,-2,-2,-2,2,2,-2,-2,-2,1,1,1,1 
"kauaO","alslyc",2,1,-2,-2,-2,2,1,-2,1,-2,-2,1,1,2,-2,2,3,2,2,-2,2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
"oahpO","alsobo",-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,2,-2,-2,2,2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
