"PLAN","SPECIES","308KK","309KK","310KK","311KK","312KK","313KK","314KK","315KK","316KK","317KK","318KK","319KK","320KK","321KK","322KK","323KK","324KK","325KK","326KK","327KK","328KK","329KK","330KK","331KK","332KK","333KK","334KK","335KK","336KK","337KK","338KK","339KK","340KK","341KK","342KK","343KK"
"largO","abrmac",-2,-2,0,-2,1,-2,1,1,-2,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"lanaO","abuere",1,-3,-2,-2,2,-2,2,-2,1,1,1,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","abusan",-2,-1,-2,-2,-1,-2,-1,-2,-1,-1,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1 
"prraO","accstr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",2,0,-3,-3,2,-3,-2,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"nighO","acrlus",-2,0,0,0,-2,-2,1,-2,-2,-2,-2,0,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"sensO","aesvir",-2,-2,-2,-2,-2,-2,0,-2,0,0,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"dwweO","alahet",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2 
"maplO","alemac",-2,1,-2,1,2,-2,2,2,2,2,0,2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"kauaO","alslyc",-2,1,-2,-2,1,-2,1,-2,1,1,1,1,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
