"PLAN","SPECIES","347OO","348OO","349OO","350OO","351OO","352OO","353OO","354OO","355OO","356OO","357OO","358OO","359OO","360OO","361OO","362OO","363OO","364OO","365OO","366OO","367OO","368OO","369OO","370OO"
"largO","abrmac",0,0,1,0,0,0,1,1,1,0,-2,1,2,0,1,0,1,0,0,0,0,0,0,0 
"lanaO","abuere",1,0,0,0,0,1,1,0,1,1,-2,0,0,0,5,0,2,3,2,0,0,0,0,0 
"oahpO","abusan",1,1,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-2,0,0,0,0,-2 
"prraO","accstr",1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0 
"oahtO","achlil",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"nighO","acrlus",1,3,4,1,0,1,2,2,0,2,0,0,1,0,2,0,0,3,0,6,5,4,4,0 
"sensO","aesvir",2,3,1,2,2,1,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,3,1,0 
"dwweO","alahet",2,2,1,2,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,2,0,4,0,0 
"maplO","alemac",4,4,4,3,3,3,2,0,1,0,0,1,1,0,2,3,2,4,1,1,2,2,2,0 
"kauaO","alslyc",4,4,4,4,4,4,0,0,0,0,-2,-2,0,-2,1,1,-2,2,0,0,0,0,0,0 
"oahpO","alsobo",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"kauaO","alsvis",1,0,1,3,1,1,2,1,1,1,-2,0,0,-2,1,0,1,1,0,1,0,1,0,0 
"prpaO","amavit",2,2,2,0,0,0,2,2,2,0,2,0,5,0,1,1,0,1,0,2,0,2,0,0 
"ashmO","ambama",0,1,1,0,0,0,0,0,0,0,0,0,-2,0,1,0,0,1,-2,1,0,0,0,-2 
"ozarR","ambros",2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0 
"sonoR","antame",1,2,2,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0 
"antiR","apomor",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0 
