"PLAN","SPECIES","173P","174P","175P","176P","177P","178P","179P","180P","181P","182P","183P","184P","185P","186P","187P","188P","189P","190P","191P","192P","193P","194P","195P","196P","197P","198P","199P","200P","201P","202P","203P","204P","205P","206P","207P","208P","209P","210P","211P","212P","213P","214P","215P","216P","217P","218P","219P","220P","221P","222P","223P","224P","225P","226P","227P","228P","229P","230P","231P"
"largO","abrmac",2,2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-1,-2,-1,-2,-2,-2,-1,2,2,-2,2,-2,-1,-2,-1,-2,-2 
"lanaO","abuere",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,2,-2,-2,-2,-2 
"oahpO","abusan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,1,1,1,-2,-2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,1,-2 
"oahtO","achlil",-2,-2,1,-2,-2,1,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,-2,-2 
"nighO","acrlus",1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"sensO","aesvir",2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,1,2,-2,-2,-2,-2,2,2,2,2,-2,2,2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,1,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
"dwweO","alahet",-1,1,-2,-2,1,-2,2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-1,-2,2,-2,-2,-2,-2,-2,-2,-1,2,-2,-2,-2,-2,2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-1,-2,-2,-2,-2 
"maplO","alemac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,2,-2,-2,-2,-2,-2,-2,1,-2,2,-2,-2,1,2,-2,-2,2,-2 
"kauaO","alslyc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2 
"oahpO","alsobo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"prpaO","amavit",-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,1,-2,1,2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"ashmO","ambama",-2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,1,-2 
"ozarR","ambros",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0 
"sonoR","antame",0,-1,0,0,1,-1,0,2,0,0,0,0,0,0,-1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2,2,0,0,-1,0,0,0,0,2,0,2,0,1,0,0 
"antiR","apomor",2,-2,-2,1,-2,2,-2,-2,2,-2,-2,-2,-2,-2,2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"raveO","archoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,2,-2 
"dwbeO","archum",-2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-1,-2,-2,-1,-2 
"maunO","argsan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,0 
"anthO","athant",-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,1,1,2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"virgR","betube",-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",2,2,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2 
"aleuR","bracan",-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,2,-2,2,-2,-2,-2,-1,2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,1,1 
"cavpO","brasan",2,2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,1,2,-2,-2,-2,2,-2,-2,-2,-1,-2,2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-1,-2,2,1,2 
"kaupO","briins",-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,-2,-2,2,2,-2,-2,-2,-2,-2,-1,-2,2,-2,-2,-2,-1,-2,-2,2,-1 
