"PLAN","SPECIES","173S","174S","175S","176S","177S","178S","179S","180S","181S","182S","183S","184S","185S","186S","187S","188S","189S","190S","191S","192S","193S","194S","195S","196S","197S","198S","199S","200S","201S","202S","203S","204S","205S","206S","207S","208S","209S","210S","211S","212S","213S","214S","215S","216S","217S","218S","219S","220S","221S","222S","223S","224S","225S","226S","227S","228S","229S","230S","231S"
"largO","abrmac",-1,-1,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-1,-2,-1,-2,-2 
"lanaO","abuere",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,3,-2,-2,-2,-2 
"oahpO","abusan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,2,2,2,-2,-2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,3,-2 
"oahtO","achlil",-2,-2,3,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-1,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,3,-2,-2 
"nighO","acrlus",2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"sensO","aesvir",3,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,2,3,3,-2,-2,-2,-2,3,3,2,3,-2,3,3,3,-2,-2,-2,-2,-2,-2,3,-2,-2,2,2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,3,-2,-2 
"dwweO","alahet",2,2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-1,3,-2,-2,-2,-2,3,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-1,-2,-2,-2,-2 
"maplO","alemac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3,-2,2,3,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,2,3,-2,-2,3,-2 
"kauaO","alslyc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2 
"oahpO","alsobo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,1,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"prpaO","amavit",-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,3,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-1,-2,-1,3,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,-2 
