"PLAN","SPECIES","173T","174T","175T","176T","177T","178T","179T","180T","181T","182T","183T","184T","185T","186T","187T","188T","189T","190T","191T","192T","193T","194T","195T","196T","197T","198T","199T","200T","201T","202T","203T","204T","205T","206T","207T","208T","209T","210T","211T","212T","213T","214T","215T","216T","217T","218T","219T","220T","221T","222T","223T","224T","225T","226T","227T","228T","229T","230T","231T"
"largO","abrmac",2,2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-1,-2,-2,-2,2,2,2,-2,2,-2,3,-2,2,-2,-2 
"lanaO","abuere",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,3,-2,-2,-2,-2 
"oahpO","abusan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2 
"oahtO","achlil",-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-1,-2,-2,2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-1,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2 
"nighO","acrlus",3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"sensO","aesvir",3,3,-2,-2,2,2,-2,-2,-2,-2,-2,-2,2,2,2,-2,-2,-2,-2,2,3,2,3,-2,3,3,3,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"dwweO","alahet",1,3,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-1,2,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2 
"maplO","alemac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2,2,2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,2,3,-2,-2,3,-2 
"kauaO","alslyc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,3,3,-2 
"oahpO","alsobo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"prpaO","amavit",-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,-2,-2,1,-2,2,1,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"ashmO","ambama",-2,2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,2,-2,-2,-2,1,-2 
"ozarR","ambros",-2,1,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,3,-2,-2,-2,-2,-2,2,-2 
"sonoR","antame",-2,-1,-2,-2,2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,2,1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-1,-2,-2,-2,-2,2,-2,2,-2,1,-2,-2 
"antiR","apomor",3,-2,-2,3,-2,2,-2,-2,3,-2,-2,-2,-2,-2,3,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2 
"raveO","archoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,3,-2 
"dwbeO","archum",-2,3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,3,-2,1,3,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,3,-2,-2,1,-2 
