"PLAN","SPECIES","173U","174U","175U","176U","177U","178U","179U","180U","181U","182U","183U","184U","185U","186U","187U","188U","189U","190U","191U","192U","193U","194U","195U","196U","197U","198U","199U","200U","201U","202U","203U","204U","205U","206U","207U","208U","209U","210U","211U","212U","213U","214U","215U","216U","217U","218U","219U","220U","221U","222U","223U","224U","225U","226U","227U","228U","229U","230U","231U"
"largO","abrmac",3,3,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-1,-2,-2,-2,2,1,1,-2,3,-2,2,-2,3,-2,-2 
"lanaO","abuere",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,2,-2,3,-2,-2,-2,1,-2,-2,-2,-2 
"oahpO","abusan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,2,3,2,3,3,-2,-2,-2,3,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,2,2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,-2 
"oahtO","achlil",-2,-2,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,3,-2,-2 
"nighO","acrlus",1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"sensO","aesvir",3,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,3,1,1,-2,-2,-2,-2,-1,3,3,3,-2,3,3,1,-2,-2,-2,-2,-2,-2,1,-2,-2,3,3,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2 
"dwweO","alahet",1,1,-2,-2,3,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,2,3,-2,-2,-2,-2,3,1,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,2,-2,-2,-2,-2 
"maplO","alemac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,3,-2,1,3,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,2,1,-2,-2,1,-2 
"kauaO","alslyc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2 
