"PLAN","SPECIES","347UU","348UU","349UU","350UU","351UU","352UU","353UU","354UU","355UU","356UU","357UU","358UU","359UU","360UU","361UU","362UU","363UU","364UU","365UU","366UU","367UU","368UU","369UU","370UU"
"largO","abrmac",-2,-2,0,-2,-2,-2,0,0,0,-2,-2,0,0,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2 
"lanaO","abuere",0,-2,-2,-2,-2,0,0,-2,0,0,-2,-2,-2,-2,0,-2,0,0,0,-2,-2,-2,-2,-2 
"oahpO","abusan",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",2,2,1,-2,-2,-2,0,0,0,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",0,1,1,0,-2,1,1,1,-2,1,-2,-2,1,-2,1,-2,-2,1,-2,1,1,1,1,-2 
"sensO","aesvir",1,1,-1,1,1,1,2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,1,-2,2,0,-2 
"dwweO","alahet",2,2,2,2,1,2,2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,-2,-2 
"maplO","alemac",2,2,2,2,2,2,2,-2,2,-2,-2,2,2,-2,2,2,1,1,1,2,2,2,2,-2 
"kauaO","alslyc",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2 
"oahpO","alsobo",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",-2,-2,-1,-2,-1,2,-1,-1,-1,-1,-2,-2,-2,-2,2,-2,-1,2,-2,2,-2,2,-2,-2 
"prpaO","amavit",-1,-1,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-1,-2,-1,-1,-2,-1,-2,-1,-2,-1,-2,-2 
"ashmO","ambama",-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,0,-2,-2,-2,-2 
"ozarR","ambros",2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2 
"sonoR","antame",2,2,2,-2,-2,-2,2,2,-2,-1,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2 
"raveO","archoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,3 
"dwbeO","archum",-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"maunO","argsan",1,1,1,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"anthO","athant",0,0,0,0,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2 
"virgR","betube",-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",3,3,-2,-2,-2,-2,3,-2,3,2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,3,2,-2 
"aleuR","bracan",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,-2 
"cavpO","brasan",3,3,3,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,-2 
"kaupO","briins",1,1,1,1,1,1,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"palmO","calriv",1,1,1,1,-2,1,1,1,-2,-2,-1,-2,-2,-2,1,-2,-2,-2,-2,0,-2,0,-2,-2 
"grayO","canlup",2,2,2,2,2,-2,-2,2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"eastR","canlup",-2,0,0,0,0,-2,1,1,-2,0,1,1,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
