"PLAN","SPECIES","130G","131G","132G","133G","134G","135G","136G","137G","138G","139G","140G","141G","142G","143G","144G","145G","146G","147G","148G","149G","150G","151G","152G","153G","154G","155G","156G","157G","158G","159G","160G","161G","162G","163G","164G","165G","166G","167UUU"
"largO","abrmac",4,3,-2,-2,-2,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,2,0,4,2,4,-2,1,1,0,0,-2,-2,-2,-2,4,1,4,1 
"lanaO","abuere",1,0,-2,-2,-2,0,0,0,1,0,0,0,0,3,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,4,0,0,0 
"oahpO","abusan",0,0,-2,-2,-2,0,0,0,1,0,0,2,0,0,0,2,0,-2,2,1,1,0,2,1,-2,0,0,0,0,0,0,0,-2,0,1,0,0,0 
"prraO","accstr",1,2,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0 
"oahtO","achlil",6,1,0,0,-2,0,0,0,10,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0 
"nighO","acrlus",4,6,0,0,-2,3,5,1,0,0,0,3,1,4,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,4,2,0,0 
"sensO","aesvir",4,3,-2,-2,-2,1,1,0,1,0,0,2,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,3 
"dwweO","alahet",2,1,1,-2,-2,5,2,0,2,0,0,2,1,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,-2,-2,-2,-2,-2,1,0,0,0 
"maplO","alemac",3,1,-2,-2,-2,1,-2,-2,2,1,1,3,2,1,-2,3,1,1,1,-2,1,1,2,2,-2,2,-2,-2,-2,1,1,-2,-2,-2,8,1,1,1 
"kauaO","alslyc",1,2,-2,-2,-2,2,3,0,1,0,0,2,2,1,-2,2,2,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,5,3,-2,0 
"oahpO","alsobo",0,0,-2,-2,-2,0,0,0,1,0,-2,2,0,0,0,2,0,-2,2,1,1,0,2,1,-2,0,0,0,0,-2,-2,0,-2,-2,1,0,0,-2 
"kauaO","alsvis",0,1,-2,-2,-2,0,0,0,1,0,-2,1,1,1,-2,2,2,-2,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,-2,0 
"prpaO","amavit",2,1,1,0,0,0,0,0,2,0,0,2,0,2,0,3,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,6,0,0,0 
"ashmO","ambama",10,1,1,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,-2,-2,0,-2,-2,0,0,-2,1,1,-2,-2 
"ozarR","ambros",0,5,0,0,0,1,2,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0 
"sonoR","antame",3,1,2,2,2,0,0,0,1,1,0,4,0,2,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,0,0 
"antiR","apomor",1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0 
"raveO","archoo",1,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0 
"dwbeO","archum",1,1,-2,-2,-2,0,0,0,2,0,-2,1,1,1,1,1,0,-2,1,0,1,1,0,0,-2,0,0,0,0,-2,1,0,-2,-2,1,0,0,-2 
"fourO","arcmor",0,0,-2,-2,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0 
"maunO","argsan",4,2,-2,-2,-2,0,0,1,1,0,0,1,1,3,1,2,2,0,0,0,1,0,1,2,0,2,2,2,2,0,-2,-2,-2,-2,2,1,0,0 
"anthO","athant",1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0 
"virgR","betube",0,0,-2,-2,-2,0,0,0,0,0,-2,0,0,0,-2,0,0,-2,0,0,0,0,0,0,0,1,0,0,0,0,-2,-2,-2,-2,1,0,0,0 
"flscR","bongra",1,2,-2,-2,-2,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-2,-2,0,0,0,0,0 
"aleuR","bracan",0,5,1,4,1,0,0,0,2,0,0,9,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0 
"cavpO","brasan",1,2,2,-2,-2,1,1,0,0,0,0,1,1,2,-2,0,0,-2,0,0,0,0,0,-2,-2,0,0,0,0,-2,1,0,0,-2,0,0,1,-2 
"kaupO","briins",1,0,-2,-2,-2,0,0,0,1,0,-2,1,0,1,0,0,3,-2,1,1,1,1,1,1,-2,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2 
"palmO","calriv",1,4,-2,2,-2,0,0,0,1,0,0,2,1,2,0,2,0,0,0,1,1,0,0,1,3,0,0,0,0,0,2,-2,-2,0,1,0,0,0 
"grayO","canlup",1,1,1,1,1,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0 
"eastR","canlup",4,4,4,4,0,8,8,0,6,9,0,6,6,6,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0 
"redwR","canruf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0 
"ashmO","cennam",2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,2,0,0,0,0,0,1,1,0,0 
"cuiuR","chacuj",3,11,3,26,-2,6,3,-2,-2,3,-2,5,-2,7,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",2,2,-2,-2,-2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,-2,0,0,0,0,-2,0,-2,-2,-2,0,0,1,-2 
