"PLAN","SPECIES","173V","174V","175V","176V","177V","178V","179V","180V","181V","182V","183V","184V","185V","186V","187V","188V","189V","190V","191V","192V","193V","194V","195V","196V","197V","198V","199V","200V","201V","202V","203V","204V","205V","206V","207V","208V","209V","210V","211V","212V","213V","214V","215V","216V","217V","218V","219V","220V","221V","222V","223V","224V","225V","226V","227V","228V","229V","230V","231V"
"largO","abrmac",2,2,-2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,-2,2,2,0,-2,0,-2,4,-2,3,-2,-2 
"lanaO","abuere",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,3,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,0,-2,-2,-2,-2 
"oahpO","abusan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,0,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,2,-2 
"oahtO","achlil",-2,-2,1,-2,-2,0,1,-2,-2,-2,-2,-2,-2,0,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,3,-2,-2 
"nighO","acrlus",3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,1,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2 
"sensO","aesvir",2,2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,3,0,0,-2,-2,-2,-2,2,2,3,2,-2,2,2,5,-2,-2,-2,-2,-2,-2,0,-2,-2,1,5,-2,-2,-2,-2,-2,0,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2 
"dwweO","alahet",0,2,-2,-2,2,-2,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-1,1,-2,-2,-2,-2,1,3,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-1,-2,-2,-2,-2 
"maplO","alemac",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5,-2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,1,2,-2,3,1,-2,-2,-2,-2,-2,-2,0,-2,2,-2,-2,0,0,-2,-2,0,-2 
"kauaO","alslyc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,2,-2 
"oahpO","alsobo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"prpaO","amavit",-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,5,-2,-2,-2,0,4,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,0,0,-2,-2,0,-2,0,5,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"ashmO","ambama",-2,0,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,-2 
"ozarR","ambros",-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,0,0,-2,-2,0,-2,-2,-2,0,0,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,0,-2,-2,-2,-2,-2,0,-2 
