"PLAN","SPECIES","374ZZ","375ZZ","376ZZ","377ZZ"
"largO","abrmac",1,1,1,1 
"lanaO","abuere",-2,-2,-2,1 
"oahpO","abusan",1,1,-2,1 
"prraO","accstr",3,3,-2,1 
"oahtO","achlil",-2,-2,-2,-2 
"nighO","acrlus",3,3,3,-2 
"sensO","aesvir",2,2,2,2 
"dwweO","alahet",3,1,1,1 
"maplO","alemac",2,2,1,2 
"kauaO","alslyc",3,-2,-2,1 
"oahpO","alsobo",1,1,-2,1 
"kauaO","alsvis",3,3,3,-2 
"prpaO","amavit",3,3,3,-2 
"ashmO","ambama",-2,-2,-2,1 
"ozarR","ambros",1,2,3,2 
"sonoR","antame",2,-2,2,-2 
"antiR","apomor",2,2,-2,-2 
"raveO","archoo",-2,-2,-2,1 
"dwbeO","archum",3,3,-2,1 
"fourO","arcmor",3,3,3,-2 
"maunO","argsan",2,-2,-2,2 
"anthO","athant",2,2,2,1 
"virgR","betube",3,3,-2,1 
"flscR","bongra",1,1,-2,3 
"aleuR","bracan",-2,-2,-2,2 
"cavpO","brasan",2,2,-2,-2 
"kaupO","briins",3,-2,-2,-2 
"palmO","calriv",1,-2,-2,1 
"grayO","canlup",1,1,-2,2 
"eastR","canlup",3,3,3,2 
"redwR","canruf",2,2,2,-2 
"ashmO","cennam",2,2,-2,2 
"cuiuR","chacuj",-2,-2,-2,-2 
"pineO","chagar",3,3,-2,3 
"oahpO","charoc",-2,1,-2,1 
"flogO","chrflo",3,3,-2,1 
"nortO","cicdor",3,3,-2,1 
"maskR","colvir",1,1,1,-2 
"hawcO","corhaw",1,-2,1,-2 
"amcrR","croacu",2,2,-2,-2 
"newmO","crowil",3,3,-2,2 
"sccyO","cupabr",2,3,3,-2 
"moloO","cyaman",1,-2,1,-2 
"biplO","cyashi",-2,-2,-2,1 
"fishR","cypfor",3,3,2,2 
"kauaO","cyrcya",1,3,-2,-2 
"biplO","cyrgif",-2,-2,-2,1 
"oahpO","cyrvir",1,-2,-2,-2 
"kirtR","denkir",-2,1,-2,2 
"flomO","dicchr",-2,3,3,-2 
"tennR","echten",3,3,3,-2 
"tarrR","ellste",2,2,2,1 
"cavpO","eryari",2,-2,-2,-2 
"antiR","erycap",2,2,-2,-2 
"flscR","erycun",1,1,-2,3 
"seveO","erymen",1,1,2,2 
"threO","eryter",3,3,3,3 
"slacO","ethbos",2,2,2,2 
"edwaR","ethfon",1,-2,1,1 
"wateR","ethnuc",-2,-2,-2,2 
"okalO","ethoka",-2,-2,-2,-2 
"bayoR","ethrub",3,3,-2,3 
"maryR","ethsel",1,1,-2,1 
"elseO","eupbat",2,-2,2,2 
"edwaR","eurnan",2,2,2,2 
"pereO","falper",1,1,1,1 
"ampeO","falper",3,3,-2,1 
"hawwR","fulame",3,3,3,2 
"lanaO","gahlan",1,1,-2,-2 
"hawwR","galchl",3,3,3,1 
"edwaR","gamgeo",1,1,1,1 
"hawgO","garbri",-2,-2,-2,-2 
"unarR","gasacu",3,3,3,1 
"maplO","gerarb",2,-2,-2,2 
"humpR","gilcyp",3,3,-2,2 
"bonyR","gilele",3,3,-2,2 
"chihO","gilnig",3,3,3,-2 
"fishR","gilpur",3,3,3,-2 
"whooR","gruame",2,2,2,1 
"missR","grucan",1,-2,-2,1 
"cacoR","gymcal",1,1,-2,3 
"gnomO","gymlin",3,3,-2,1 
"todsO","hedtod",3,3,3,1 
