"PLAN","SPECIES","378","379","380","381","382","383","384","385","386","387","388","389","390","391","392","393","394","395","396","397","398","399","400","401"
"largO","abrmac","largO","abrmac","Hatch25",0,0,1,35,4,11,0,0,0,0,0,0,1,0,23,-1,-1,-1,-1,-1,1 
"lanaO","abuere","lanaO","abuere","Estill63",0,0,0,51,15,55,2,0,0,0,10,0,15,0,21,5242,15490,45,-2,1,1 
"oahpO","abusan","oahpO","abusan","Hoshino2",0,0,0,27,27,27,5,0,0,0,0,0,5,2,20,34207,9848,300,-1,1,0 
"prraO","accstr","prraO","accstr","Harvey10",2,0,0,16,14,14,0,0,0,0,0,7,4,0,28,-1,195,-1,-3,0,1 
"oahtO","achlil","oahtO","achlil","Comeaux1",0,0,0,32,19,30,0,0,0,0,0,0,0,0,13,1609.5,400,99,-3,1,1 
"nighO","acrlus","nighO","acrlus","Nordby10",0,0,0,9,13,18,0,0,0,0,0,0,0,0,15,3107,327,716,-3,1,1 
"sensO","aesvir","sensO","aesvir","Fisher32",0,0,1,25,13,25,18,0,0,0,0,16,8,0,23,34.5,124,56.5,-3,-1,1 
"dwweO","alahet","dwweO","alahet","merrick1",2,0,1,17,8,12,1,0,0,2,1,1,2,0,10,388,160,17,-1,1,1 
"maplO","alemac","maplO","alemac","Mayer130",0,0,0,33,34,41,23,0,0,20,0,0,26,0,-1,14844.5,27822.5,481.5,-3,1,1 
"kauaO","alslyc","kauaO","alslyc","bennett4",0,0,0,39,30,39,3,0,0,1,0,0,20,0,22,22587.6,14072.5,126388.2,-3,1,1 
"oahpO","alsobo","oahpO","alsobo","Hoshino2",0,0,0,27,27,27,5,0,0,0,0,0,5,2,20,34207,9848,300,-1,1,0 
"kauaO","alsvis","kauaO","alsvis","Lukacs46",0,0,0,43,29,43,2,0,0,1,0,0,25,0,-1,21427.28,27906,753.2,-3,1,1 
"prpaO","amavit","prpaO","amavit","Temple99",2,0,0,30,16,24,0,0,0,0,0,0,15,0,-1,1889,60,1035,-1,1,0 
"ashmO","ambama","ashmO","ambama","Benedict",0,0,0,31,6,12,0,0,0,0,0,0,0,0,15,128,1881,711,-3,0,1 
"ozarR","ambros","ozarR","ambros","kolar109",0,0,0,10,0,8,0,0,0,1,0,0,0,0,-1,0,177,0,-1,-1,0 
"sonoR","antame","sonoR","antame","Field131",2,0,0,0,1,1,0,1,0,0,0,0,0,24,7,1910,1200,600,-3,1,1 
"antiR","apomor","antiR","apomor","Goy69",0,0,0,20,1,5,1,0,0,0,0,0,2,0,-2,2236.5,36,0,-1,1,1 
"raveO","archoo","raveO","archoo","belak72",0,0,1,34,31,31,-2,-2,-2,-2,-2,-2,-2,-2,-1,62.7,12,-2,-1,1,0 
"dwbeO","archum","dwbeO","archum","Hunter30",0,0,0,13,20,0,3,0,0,0,0,0,1,0,-1,3,37,5,-3,0,1 
"fourO","arcmor","fourO","arcmor","Jolivett",0,0,0,10,0,12,6,0,0,0,0,0,1,0,10,-1,493,2,-3,-1,1 
"maunO","argsan","maunO","argsan","Temple99",2,0,1,21,0,31,0,0,0,0,0,7,0,0,16,438,287,0,-1,-1,0 
"anthO","athant","anthO","athant","Fink101",0,0,0,13,10,10,0,0,0,0,0,0,5,0,10,-1,-1,0,-1,1,1 
"virgR","betube","virgR","betube","Spakes68",0,1,0,6,7,7,0,0,0,0,0,0,0,0,20,-1,-1,-1,-3,0,0 
"flscR","bongra","flscR","bongra","pico148",0,1,1,19,8,17,12,0,0,6,0,3,17,0,2,-1,-1,-1,-3,1,1 
"aleuR","bracan","aleuR","bracan","Mosher15",0,1,0,54,1,22,1,0,0,0,0,0,0,0,14,0,1884,162,5036.75,1,1 
"cavpO","brasan","cavpO","brasan","Neville1",0,0,0,14,14,13,14,0,0,0,0,0,0,0,10,670,1120,-2,-1,-1,0 
"kaupO","briins","kaupO","briins","Green57",0,0,1,43,31,45,5,0,0,1,1,0,23,1,22,14000.5,18477,530,-1,1,1 
"palmO","calriv","palmO","calriv","Eaton27",0,1,0,18,0,18,0,0,0,0,0,9,1,0,33,-1,-1,-2,-3,-1,1 
"grayO","canlup","grayO","canlup","wieland9",0,0,0,33,27,28,0,0,0,0,0,0,0,0,-1,562,477,15,-3,1,1 
"eastR","canlup","eastR","canlup","Minnemey",0,0,0,105,57,106,9,0,0,5,0,0,0,1,13,0,337.5,8475,-3,-3,0 
"redwR","canruf","redwR","canruf","Gripne17",2,0,1,40,0,0,0,0,0,0,0,0,0,0,-1,849,1036,270.6,-3,1,1 
"ashmO","cennam","ashmO","cennam","lawrence",0,0,0,32,12,14,0,0,0,0,0,0,0,0,16,256,3493,1105,-1,0,1 
"cuiuR","chacuj","cuiuR","chacuj","Rahn, Be",0,0,1,25,20,7,0,5,0,0,0,0,0,0,24,7929,5830,200,-2,1,1 
"pineO","chagar","pineO","chagar","Kuhn124",0,0,0,10,3,7,2,0,0,0,3,2,2,0,-1,30,40,5,-1,-1,1 
"oahpO","charoc","oahpO","charoc","Gibbons;",0,0,0,26,24,2,5,0,0,9,0,0,5,0,21,34207,9890,300,-3,1,1 
"flogO","chrflo","flogO","chrflo","Bloch35",0,0,0,13,1,0,5,0,0,3,0,4,3,0,-1,-1,-1,-1,-3,-1,0 
"nortO","cicdor","nortO","cicdor","Morris19",1,0,1,18,1,18,0,0,0,13,0,0,3,0,11,205,198,66,-3,1,0 
"maskR","colvir","maskR","colvir","Dullum36",0,0,0,54,0,4,21,0,0,0,1,0,0,25,12,5598.5,129,102,-3,1,1 
"hawcO","corhaw","hawcO","corhaw","Bunn183",0,0,0,25,3,34,4,0,0,4,0,0,0,2,-1,990,63,12.6,-1,0,0 
"amcrR","croacu","amcrR","croacu","Wyrick52",0,0,1,28,25,1,0,0,0,0,0,0,0,0,30,39,320.5,38,-3,1,1 
"newmO","crowil","newmO","crowil","Cilimbur",0,0,0,21,0,20,0,0,0,0,0,0,0,14,-1,-2,30,87,-3,1,1 
"sccyO","cupabr","sccyO","cupabr","Gray54",0,0,0,18,1,20,20,0,0,12,0,0,0,0,5,0,42.5,9,-3,0,-1 
"moloO","cyaman","moloO","cyaman","Webb23",0,0,0,23,17,24,0,0,0,10,0,0,9,2,21,11769,1370,795,-1,1,1 
"biplO","cyashi","biplO","cyashi","nielson1",0,0,0,37,29,35,0,0,0,0,0,0,5,0,20,6460,2015,1175,-1,-1,1 
"fishR","cypfor","fishR","cypfor","Mayer150",0,1,0,26,1,22,0,0,0,0,0,0,0,7,10,91.5,141,164.5,-3,-1,0 
"kauaO","cyrcya","kauaO","cyrcya","Temple99",0,0,0,45,33,45,4,0,0,1,0,0,23,2,-1,22300.9,27902.4,753.2,-1,-1,-1 
"biplO","cyrgif","biplO","cyrgif","nielson1",0,0,0,37,29,35,0,0,0,0,0,0,5,0,20,6460,2015,1175,-3,-1,1 
"oahpO","cyrvir","oahpO","cyrvir","Estill63",0,0,0,25,23,26,0,0,0,10,0,0,5,0,-1,33383,9848,300,-3,1,1 
"kirtR","denkir","kirtR","denkir","Robinson",0,0,1,23,14,2,1,0,0,0,0,0,0,1,-2,3940,63,101,-1,-1,0 
"flomO","dicchr","flomO","dicchr","Sin74",0,0,0,26,1,1,0,0,0,4,0,0,0,0,-2,35500,16000,12000,-2,-2,1 
"tennR","echten","tennR","echten","Morse75",0,0,0,23,2,0,23,0,0,1,0,0,5,0,4,-1,79,-1,-3,1,0 
"tarrR","ellste","tarrR","ellste","Kimberly",0,0,1,14,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1.5,-3,1,1 
"cavpO","eryari","cavpO","eryari","McKnight",0,0,1,14,14,14,0,0,0,0,0,0,0,0,-1,-1,250,-2,-1,-1,1 
"antiR","erycap","antiR","erycap","Kellogg1",0,0,0,19,1,7,2,0,0,0,0,0,0,0,-2,2232,45,-2,-3,-1,1 
"flscR","erycun","flscR","erycun","Stanley2",0,1,0,23,10,22,22,0,0,3,0,3,18,0,10,-1,-1,-1,-3,1,1 
"seveO","erymen","seveO","erymen","hebblewh",2,1,1,13,0,3,0,0,0,1,0,0,1,0,20,196,120,130,-3,1,1 
"threO","eryter","threO","eryter","Temple99",0,0,1,13,1,22,4,0,0,0,11,5,0,0,-1,-1,324,149,-1,1,1 
"slacO","ethbos","slacO","ethbos","Davis129",0,0,0,12,2,2,2,0,0,0,0,0,0,0,-1,0,53,56,-3,1,1 
"edwaR","ethfon","edwaR","ethfon","Newbold1",0,0,1,37,14,32,16,0,0,0,0,0,3,0,29,2149.75,650,15,-3,1,0 
"wateR","ethnuc","wateR","ethnuc","Temple99",2,0,0,12,0,12,7,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1 
"okalO","ethoka","okalO","ethoka","Eustace2",-1,0,0,9,4,11,0,0,0,0,0,0,0,0,-1,-1,-1,0,-3,-1,0 
"bayoR","ethrub","bayoR","ethrub","Faulkner",0,0,0,23,5,22,1,0,0,0,0,0,1,0,20,0,82.83,42.1,-1,-1,1 
"maryR","ethsel","maryR","ethsel","Withey12",2,0,0,28,3,24,10,0,0,0,0,0,0,0,-1,-1,-1,-1,-3,-1,-1 
"elseO","eupbat","elseO","eupbat","Lucia189",0,0,0,18,0,8,2,0,0,0,0,0,1,0,-1,3246,1190,-2,-1,0,0 
"edwaR","eurnan","edwaR","eurnan","Falcone1",2,0,0,30,3,5,16,0,1,0,0,0,0,0,-1,-1,-1,-1,-3,1,1 
"pereO","falper","pereO","falper","Morse75",2,0,0,107,79,18,62,0,0,0,0,65,17,55,-2,2190.5,421,592.5,-1,1,1 
"ampeO","falper","ampeO","falper","Drees90",2,1,1,40,19,125,0,0,0,0,0,0,0,0,-1,1068,90,3,-3,1,1 
"hawwR","fulame","hawwR","fulame","Dollar14",2,1,1,57,0,57,0,0,0,0,0,0,0,0,-2,139,323,136,-1,1,1 
"lanaO","gahlan","lanaO","gahlan","Morse75",0,0,0,50,22,53,12,0,0,0,12,0,15,0,22,5915.5,15931.5,45,-1,1,0 
"hawwR","galchl","hawwR","galchl","Shaw205",0,0,1,53,0,2,0,0,0,0,0,0,0,0,-2,-1,-1,131,-3,0,0 
"edwaR","gamgeo","edwaR","gamgeo","Lundquis",0,0,0,37,20,31,18,0,0,3,4,10,1,10,-2,4645,1242,15,-1,1,0 
"hawgO","garbri","hawgO","garbri","Kimball1",0,0,0,147,0,147,0,0,0,4,0,0,14,0,19,464,1670,36,-3,1,0 
"unarR","gasacu","unarR","gasacu","hahn127",0,0,0,24,19,34,3,0,0,0,0,2,0,2,-1,106.5,187,27,-3,-1,0 
"maplO","gerarb","maplO","gerarb","Leyse217",0,0,0,37,33,41,7,0,0,20,0,0,23,5,-1,15407.5,24120.5,481.5,-1,-1,1 
"humpR","gilcyp","humpR","gilcyp","Moerke14",1,0,1,25,23,0,25,2,0,0,0,0,0,0,13,525,1130,1210,-1,-1,0 
"bonyR","gilele","bonyR","gilele","Crampton",0,1,0,28,3,25,0,0,0,0,0,0,0,0,13,757,256,71,624,1,0 
"chihO","gilnig","chihO","gilnig","kelleher",0,0,0,12,3,0,0,0,0,0,0,0,0,0,-1,105,12,59,-3,-1,0 
"fishR","gilpur","fishR","gilpur","langridg",-1,1,0,31,2,44,3,0,0,0,0,0,7,0,10,91.5,165,218.5,-3,1,0 
"whooR","gruame","whooR","gruame","Bradley3",2,1,0,53,35,8,0,0,0,0,1,0,23,2,21,-1,-1,-1,-3,1,1 
"missR","grucan","missR","grucan","Trexel39",0,0,0,39,8,24,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1 
"cacoR","gymcal","cacoR","gymcal","Easter62",2,0,0,42,15,27,0,0,0,0,0,0,17,1,16,10380,13177,1350,-1,1,1 
"gnomO","gymlin","gnomO","gymlin","lyons204",0,0,1,16,16,16,1,-2,-2,-2,-2,-2,-2,-2,-1,299,142,67.5,-3,1,0 
"todsO","hedtod","todsO","hedtod","Wright17",0,0,0,6,5,0,0,0,0,0,0,0,0,0,-1,10,105,9,-1,1,0 
"oahpO","hesarb","oahpO","hesarb","brigham1",0,0,0,26,31,32,0,0,0,9,0,0,3,0,2002,34207,9848,300,-3,1,1 
"moloO","hibarn","moloO","hibarn","Allen20",0,0,0,26,19,27,1,0,0,11,0,0,10,3,20,-1,-1,-1,-1,1,1 
"kaupO","hibcla","kaupO","hibcla","Schwartz",0,0,0,45,32,45,2,0,0,1,1,0,26,0,-1,14830.5,8552,530,-1,1,1 
"kauaO","hibwoo","kauaO","hibwoo","Temple99",0,0,0,45,33,45,5,0,0,0,0,3,23,0,-1,22267,45970,753,-1,1,1 
"hawwR","himmex","hawwR","himmex","Merideth",0,0,0,51,5,51,1,0,0,0,0,0,0,0,-1,308,324,147,-1,1,0 
"flscO","hypcum","flscO","hypcum","Jurjavci",2,0,0,20,2,8,4,0,0,0,0,2,10,0,10,80,117,34,-1,1,1 
