"PLAN","SPECIES","374DDD","375DDD","376DDD","377DDD"
"largO","abrmac",12,12,12,12 
"lanaO","abuere",-2,-2,-2,-2 
"oahpO","abusan",3,3,-2,1 
"prraO","accstr",12,12,-2,12 
"oahtO","achlil",-3,-3,-3,-3 
"nighO","acrlus",-2,-2,-2,-2 
"sensO","aesvir",12,12,1,12 
"dwweO","alahet",-3,-3,-3,-3 
"maplO","alemac",3,3,3,3 
"kauaO","alslyc",-2,-2,-2,-2 
"oahpO","alsobo",3,3,-2,1 
"kauaO","alsvis",-2,-2,-2,-2 
"prpaO","amavit",12,12,12,-2 
"ashmO","ambama",-2,-2,-2,1 
"ozarR","ambros",12,12,10,12 
"sonoR","antame",-3,-3,-3,-3 
"antiR","apomor",12,12,-2,-2 
"raveO","archoo",-2,-2,-2,2 
"dwbeO","archum",12,12,-2,2 
"fourO","arcmor",12,12,12,-2 
"maunO","argsan",3,-2,-2,3 
"anthO","athant",12,12,12,12 
"virgR","betube",2,2,-2,12 
"flscR","bongra",12,12,-2,-2 
"aleuR","bracan",-2,-2,-2,12 
"cavpO","brasan",12,12,-2,-2 
"kaupO","briins",-2,-2,-2,-2 
"palmO","calriv",1,-2,-2,1 
"grayO","canlup",12,-3,-3,12 
"eastR","canlup",-1,12,-1,12 
"redwR","canruf",12,12,1,-2 
"ashmO","cennam",1,1,-2,-1 
"cuiuR","chacuj",-3,-3,-3,-3 
"pineO","chagar",1,-3,-3,1 
"oahpO","charoc",-3,2,-3,2 
"flogO","chrflo",-2,-2,-2,12 
"nortO","cicdor",12,12,-2,12 
"maskR","colvir",12,12,11,-2 
"hawcO","corhaw",12,-2,12,-2 
"amcrR","croacu",-3,12,-3,-3 
"newmO","crowil",-2,-2,-2,12 
"sccyO","cupabr",-3,-3,-3,-2 
"moloO","cyaman",8,-2,8,-2 
"biplO","cyashi",-2,-2,-2,12 
"fishR","cypfor",1,1,1,1 
"kauaO","cyrcya",3,3,-2,-2 
"biplO","cyrgif",-2,-2,-2,12 
"oahpO","cyrvir",-2,-2,-2,-2 
"kirtR","denkir",-2,-1,-2,-1 
"flomO","dicchr",-2,-3,-3,-2 
"tennR","echten",3,3,3,-2 
"tarrR","ellste",12,12,12,12 
"cavpO","eryari",-3,-2,-2,-2 
"antiR","erycap",12,1,-2,-2 
"flscR","erycun",12,12,-2,12 
"seveO","erymen",12,12,12,12 
"threO","eryter",-1,-1,-1,-2 
"slacO","ethbos",-1,-1,-1,-1 
"edwaR","ethfon",-3,-2,-3,-3 
"wateR","ethnuc",-2,-2,-2,11 
"okalO","ethoka",-2,-2,-2,-2 
"bayoR","ethrub",-3,-3,-2,-3 
"maryR","ethsel",12,12,-2,12 
"elseO","eupbat",-2,-2,-2,-2 
"edwaR","eurnan",-3,-3,-3,-3 
"pereO","falper",1,1,1,1 
"ampeO","falper",12,12,-2,12 
"hawwR","fulame",1,1,1,1 
"lanaO","gahlan",-2,-2,-2,-2 
"hawwR","galchl",-3,-3,-3,-3 
"edwaR","gamgeo",-1,-1,-1,-1 
"hawgO","garbri",-2,-2,-2,-2 
"unarR","gasacu",-3,-3,-3,-3 
"maplO","gerarb",-2,-2,-2,-2 
"humpR","gilcyp",12,12,-2,12 
"bonyR","gilele",12,12,-2,12 
"chihO","gilnig",-3,-3,-3,-2 
"fishR","gilpur",-3,-3,-3,-2 
"whooR","gruame",12,12,12,12 
"missR","grucan",1,-2,-2,1 
"cacoR","gymcal",12,12,-2,12 
"gnomO","gymlin",12,1,-2,-3 
"todsO","hedtod",2,2,2,2 
"oahpO","hesarb",-2,-2,-2,-3 
"moloO","hibarn",-2,-2,-2,-2 
"kaupO","hibcla",-2,-2,-2,-2 
"kauaO","hibwoo",-2,-2,-2,-2 
"hawwR","himmex",12,12,-2,-2 
"flscO","hypcum",12,12,12,-2 
"smalR","isomed",12,12,12,-2 
"beacO","jacrec",12,12,-2,12 
"oahpO","labcyr",-2,-2,-2,-2 
"pinkO","lamabr",-1,-1,-1,-1 
