PLAN CODE,SPECIES CODE,PLAN NAME,SPECIES COMMON NAME,SPECIES SCIENTIFIC NAME,SCHOOL,REVISED?
larg,abrmac,Large-fruited Sand Verbena,"Sand-verbena, large-fruited",Abronia macrocarpa,Cornell,No
lana,abuere,Lanai Plant Cluster (9 spp.),Abutilon eremitopetalum (NCN),Abutilon eremitopetalum,Tennessee,No
oahp,abusan,Oahu Plants (66 spp.),Abutilon sandwicense (NCN),Abutilon sandwicense,UCSB,No
prra,accstr,2 Puerto Rican Raptors (2 spp.),"Hawk, Puerto Rican sharp-shinned",Accipiter striatus venator,ASU,No
oaht,achlil,Oahu Tree Snails (20 spp.),"Snail, Oahu tree",Achatinella lila,Tennessee,No
nigh,acrlus,Nightingale Reed Warbler,"Warbler, nightingale-reed",Acrocephalus luscinia,Washington,No
sens,aesvir,Sensitive Joint Vetch,"Joint-vetch, sensitive",Aeschynomene virginica,Minnesota,No
yell,agexan,Yellow-shouldered Blackbird,"Blackbird, yellow-shouldered",Agelaius xanthomus,Notre Dame,Yes
dwwe,alahet,Dwarf Wedge Mussel,"Wedgemussel, dwarf",Alasmidonta heterodon,UCSB,No
mapl,alemac,Maui Plant Cluster (21 spp.),Mahoe,Alectryon macrococcus (var. macrococcus) (var. auwahiensis),Tennessee,No
kaua,alslyc,Kauai II Addendum (20 spp.),Kuawawaenohu,Alsinidendron lychnoides,Montana,No
oahp,alsobo,Oahu Plants (66 spp.),Alsinidendron obovatum (NCN),Alsinidendron obovatum,UCSB,No
kaua,alsvis,Kauai II Addendum (20 spp.),Alsinidendron viscosum (NCN),Alsinidendron viscosum,Montana,No
prpa,amavit,Puerto Rican Parrot,"Parrot, Puerto Rican",Amazona vittata,Wisconsin,Yes
ashm,ambama,Ash Meadows (12 spp.),"Naucorid, Ash Meadows",Ambrysus amargosus,Minnesota,No
sclo,ambmac,Santa Cruz Long-toed Salamander,"Salamander, Santa Cruz long-toed",Ambystoma macrodactylum croceum,UCSB,Yes
ozar,ambros,Ozark Cavefish,"Cavefish, Ozark",Amblyopsis rosae,Notre Dame,Yes
sono,antame,Sonoran Pronghorn,"Pronghorn, Sonoran",Antilocapra americana sonoriensis,Nevada,Yes
anti,apomor,Antioch Dunes (3 spp.),"Butterfly, Lange's metalmark",Apodemia mormo langei,Notre Dame,Yes
rave,archoo,Raven's Manzanita,"Manzanita, Presidio (=Raven's)",Arctostaphlos hookeri ravenii,CSU,No
dwbe,archum,Dwarf Bear-poppy,"Bear-poppy, dwarf",Arctomecon humilis,Notre Dame,No
four,arcmor,Four Plants and One Snail (5 spp.),Morro manzanita,Arctostaphylos morroensis,Montana,No
maun,argsan,Mauna Kea Silversword,"Silversword, Mauna Kea (=`ahinahina)",Argyroxiphium sandwicense ssp. sandwicense,Wisconsin,No
anth,athant,Anthony's Riversnail,"Riversnail, Anthony's",Athearnia anthonyi,Cornell,No
virg,betube,Virginia Round-leaf Birch,"Birch, Virginia round-leaf",Betula uber,ASU,Yes
flsc,bongra,FL Scrub Plants (19 spp.),"Bonamia, Florida",Bonamia grandiflora,Washington,Yes
aleu,bracan,Aleutian Canada Goose,"Goose, Aleutian Canada",Branta canadensis leucopareia,Idaho,Yes
cavp,brasan,California Vernal Pools (7 spp.),San Diego fairy shrimp,Branchinecta sandiegoensis,Nevada,No
kaup,briins,Kauai Plant Cluster (37 spp.),Olulu,Brighamia insignis,Minnesota,No
palm,calriv,Palma de Manaca (=Manac Palm),"Manaca, palma de (=manac palm)",Calyptronoma rivalis,Minnesota,No
east,canlup,Eastern Timber Wolf,"Wolf, gray",Canis lupus,Duke,Yes
gray,canlup,Gray Wolf (Rocky Mountain Population),"Wolf, gray",Canis lupus,Iowa St.,No
redw,canruf,Red Wolf,"Wolf, red",Canis rufus,Utah St.,Yes
ashm,cennam,Ash Meadows (12 spp.),"Centaury, spring-loving",Centaurium namophilum (=C. n. var. namophilum),ASU,No
cuiu,chacuj,Cui-ui,Cui-ui,Chasmistes cujus,Nevada,Yes
kool,chadep,Koolau Mtns. Plant Cluster (11 spp.),akoko,Chamaesyce deppeana,CSU,No
pine,chagar,Pine Rockland Plants (5 spp.),"Spurge, Garber's",Chamaesyce garberi (=Euphorbia g.),UCSB,No
oahp,charoc,Oahu Plants (66 spp.),Akoko,Chamaesyce rockii,Tennessee,No
flsc,chipyg,FL Scrub Plants (19 spp.),"Fringe-tree, pygmy",Chionanthus pygmaeus,Berkeley,Yes
flog,chrflo,Florida Golden Aster,"Aster, Florida golden",Chrysopsis floridana (=Heterotheca floridana),Duke,No
