"PLAN","SPECIES","374YY","375YY","376YY","377YY"
"largO","abrmac",2,2,4,1 
"lanaO","abuere",0,0,0,1 
"oahpO","abusan",2,2,0,1 
"prraO","accstr",1,1,0,1 
"oahtO","achlil",0,0,0,0 
"nighO","acrlus",1,1,1,0 
"sensO","aesvir",2,2,1,3 
"dwweO","alahet",3,1,3,2 
"maplO","alemac",2,1,1,2 
"kauaO","alslyc",1,0,0,1 
"oahpO","alsobo",2,2,0,1 
"kauaO","alsvis",1,1,1,0 
"prpaO","amavit",1,1,2,0 
"ashmO","ambama",0,0,0,2 
"ozarR","ambros",2,1,1,1 
"sonoR","antame",1,0,1,0 
"antiR","apomor",3,1,0,0 
"raveO","archoo",0,0,0,2 
"dwbeO","archum",2,1,0,1 
"fourO","arcmor",2,1,1,0 
"maunO","argsan",2,0,0,1 
"anthO","athant",3,3,1,1 
"virgR","betube",1,1,0,1 
"flscR","bongra",1,2,0,1 
"aleuR","bracan",0,0,0,4 
"cavpO","brasan",1,1,-2,-2 
"kaupO","briins",1,0,0,0 
"palmO","calriv",1,0,0,1 
"grayO","canlup",2,2,0,3 
"eastR","canlup",7,14,2,6 
"redwR","canruf",5,2,3,0 
"ashmO","cennam",1,1,0,1 
"cuiuR","chacuj",0,0,0,0 
"pineO","chagar",1,1,0,1 
"oahpO","charoc",0,2,0,1 
"flogO","chrflo",1,1,0,3 
"nortO","cicdor",1,1,0,1 
"maskR","colvir",3,3,1,0 
"hawcO","corhaw",5,0,2,0 
"amcrR","croacu",3,2,0,0 
"newmO","crowil",3,3,0,2 
"sccyO","cupabr",5,2,2,0 
"moloO","cyaman",2,0,1,0 
"biplO","cyashi",0,0,0,3 
"fishR","cypfor",2,2,1,1 
"kauaO","cyrcya",2,1,0,0 
"biplO","cyrgif",0,0,0,3 
"oahpO","cyrvir",1,0,0,0 
"kirtR","denkir",0,2,0,1 
"flomO","dicchr",0,2,1,0 
"tennR","echten",2,2,1,0 
"tarrR","ellste",1,1,2,1 
"cavpO","eryari",1,0,0,0 
"antiR","erycap",3,1,0,0 
"flscR","erycun",1,1,0,1 
"seveO","erymen",5,2,1,1 
"threO","eryter",2,2,2,2 
"slacO","ethbos",4,4,4,4 
"edwaR","ethfon",1,0,3,3 
"wateR","ethnuc",0,0,0,1 
"okalO","ethoka",0,0,0,0 
"bayoR","ethrub",1,1,0,3 
"maryR","ethsel",5,4,0,1 
"elseO","eupbat",1,0,1,1 
"edwaR","eurnan",2,2,1,1 
"pereO","falper",6,6,6,16 
"ampeO","falper",3,3,-2,7 
"hawwR","fulame",9,9,9,1 
"lanaO","gahlan",1,1,0,0 
"hawwR","galchl",2,2,1,1 
"edwaR","gamgeo",1,1,4,5 
"hawgO","garbri",0,0,0,0 
"unarR","gasacu",1,1,1,2 
"maplO","gerarb",1,0,0,2 
"humpR","gilcyp",1,1,0,1 
"bonyR","gilele",2,1,0,2 
"chihO","gilnig",1,1,1,0 
"fishR","gilpur",3,3,3,0 
"whooR","gruame",3,3,3,4 
"missR","grucan",2,0,0,1 
"cacoR","gymcal",8,8,0,1 
"gnomO","gymlin",2,1,0,1 
"todsO","hedtod",1,1,1,1 
"oahpO","hesarb",0,1,0,1 
"moloO","hibarn",2,0,1,0 
"kaupO","hibcla",1,1,0,1 
"kauaO","hibwoo",1,1,0,0 
"hawwR","himmex",7,7,1,0 
"flscO","hypcum",1,1,1,0 
"smalR","isomed",4,4,5,1 
"beacO","jacrec",2,1,0,1 
"oahpO","labcyr",0,0,0,0 
"pinkO","lamabr",1,1,1,1 
"snakO","lanxsp",0,0,3,11 
"caroO","lasdec",1,1,0,1 
"praiO","leslep",3,2,1,0 
"flscR","liaohl",1,1,0,1 
"kaupO","lipfau",1,1,0,1 
"oahpO","loboah",2,1,1,2 
"flscR","lupari",1,1,0,2 
"lotiO","lycarg",2,0,0,2 
"roleO","lysasp",1,1,0,1 
"apalO","macalb",0,0,0,0 
"mohrO","marmoh",0,1,1,0 
"kaupO","melpal",1,0,0,0 
"oahpO","melsai",1,1,0,2 
"armaO","miccal",1,1,1,0 
"hualO","micmex",1,2,0,1 
"blacR","musnig",1,11,9,6 
"kaufO","myapal",3,2,0,1 
"woodO","mycame",1,0,0,0 
"indiR","myosod",5,5,3,1 
"oahpO","nothum",2,0,3,0 
"capeO","notmek",3,3,0,1 
"neosO","notpla",1,1,1,1 
"ringO","oboret",3,3,3,1 
"keydR","odvicl",3,0,1,0 
"coluR","odvile",6,7,3,6 
"antiR","oendel",4,4,0,0 
"arizR","oncapa",1,1,1,1 
"grcuR","onccla",6,5,0,0 
"gilaR","oncgil",3,0,0,3 
"nashR","orcsho",1,2,1,1 
"flscR","parcha",1,1,0,2 
"mamoO","parfla",6,2,3,0 
"bradO","pedbra",2,1,0,5 
"furbR","pedfur",1,1,1,0 
"prcrO","pellem",4,4,4,0 
"anasO","perpol",1,1,1,1 
"snaiR","pertan",1,3,1,2 
"lanaO","phygla",2,2,2,1 
"biadO","phyrac",0,0,1,0 
"redcR","picbor",4,4,5,0 
"ropiO","pleple",1,4,0,2 
"shenO","pleshe",1,0,0,0 
"fishR","poeocc",2,1,0,0 
"cavpO","pognud",1,0,3,0 
"flscR","polbas",1,1,2,1 
"fatpR","potcap",0,1,0,0 
"littO","potcly",1,1,1,0 
"flscR","prugen",1,1,2,1 
"guamO","ptemar",3,1,0,10 
"harpO","ptinod",1,0,0,0 
"coloR","ptyluc",1,2,2,6 
"flopR","pumcon",5,5,4,3 
"alamO","pyrneo",0,0,1,0 
"tombO","quasta",0,0,0,1 
"saltO","raloob",1,1,0,0 
"yumaO","raloyu",1,1,3,1 
"selkR","rantar",6,3,5,2 
"kendO","rhiosc",1,0,0,3 
"chapO","rhocha",0,0,0,1 
"everR","rossoc",1,1,1,0 
"grpiR","sarore",2,0,2,1 
"pallO","scaalb",2,2,0,2 
"maplO","schhal",1,1,0,1 
"oahpO","schkaa",0,0,0,0 
"oahpO","schkea",2,0,2,0 
"kaupO","schspe",1,1,1,0 
"delmR","scinig",7,1,1,1 
"enruO","soldry",0,0,0,1 
"hougO","solhou",5,0,1,1 
"alabR","spepou",0,0,0,0 
"caleO","steant",1,0,0,1 
"kaupO","stecam",1,1,1,0 
"mexiO","strocc",0,0,0,1 
"loweO","sylpal",2,0,1,2 
"lanaO","tetrem",2,2,2,2 
"karsO","texred",3,2,1,1 
"coolO","thacoo",2,2,2,2 
"pedaO","theste",2,2,1,0 
"soccO","thethe",1,1,0,1 
"prfeO","theyau",1,1,0,1 
"westR","triman",6,1,1,6 
"bariO","tritri",1,0,0,1 
"attwR","tymcup",10,1,5,2 
"grizR","ursarc",0,2,6,14 
"flscR","warcar",1,0,1,1 
"cachO","xanriv",0,0,1,0 
"flscR","zizcel",1,0,0,1 
"edwaR","ziztex",1,1,1,1 
