"PLAN","SPECIES","443ZZZ","444ZZZ","445ZZZ","446ZZZ","447ZZZ","448ZZZ","449ZZZ","450ZZZ","451ZZZ","452ZZZ","453ZZZ","454ZZZ","455ZZZ","456ZZZ","457ZZZ","458ZZZ"
"largO","abrmac",-2,0,1,-2,0,1,-2,-2,-2,-2,1,-2,-2,-2,-2,1 
"lanaO","abuere",-1,-2,-2,-1,-2,-2,1,1,-1,1,-2,-2,-2,-2,-1,-2 
"oahpO","abusan",-2,-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"prraO","accstr",1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",1,1,1,1,1,1,-2,-2,-2,1,-2,1,-2,-2,1,-2 
"sensO","aesvir",-2,1,2,-1,-1,-1,-2,-2,-2,1,-2,-2,-2,-2,1,-2 
"dwweO","alahet",1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,-3 
"maplO","alemac",2,2,2,2,-2,2,2,2,2,2,2,-2,-2,2,1,-2 
"kauaO","alslyc",1,1,1,1,1,1,-2,-2,1,0,0,0,-2,0,-2,-2 
"oahpO","alsobo",-2,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",0,0,0,-2,-2,-2,0,0,-2,-2,0,-2,-2,0,-2,-2 
"prpaO","amavit",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"ashmO","ambama",-2,-2,-2,1,-2,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2 
"ozarR","ambros",-2,1,1,-2,1,1,1,-2,1,-2,-2,-2,1,-2,1,-2 
"sonoR","antame",1,1,1,-3,1,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",1,-2,-2,-1,-2,-2,-1,-1,-1,2,-1,-1,-2,-1,2,-2 
"dwbeO","archum",-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maunO","argsan",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anthO","athant",-2,1,1,-2,1,1,-2,-2,1,-2,1,-2,-2,-2,-2,-2 
"virgR","betube",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",-2,1,-2,-2,-2,-2,-2,1,-2,-2,1,0,-2,-2,1,-2 
"aleuR","bracan",2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-3,1 
"cavpO","brasan",-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","briins",-2,1,1,-2,-2,1,1,-2,-2,0,-2,-2,-2,-2,-2,-2 
"palmO","calriv",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"grayO","canlup",2,-3,-3,-3,-3,-3,-3,2,2,-3,-3,2,-3,-3,2,-3 
"eastR","canlup",-3,-3,-3,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",2,2,2,2,-1,2,2,-1,-1,-1,2,-2,-2,-2,-2,-3 
"ashmO","cennam",0,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,0,1,-2 
"cuiuR","chacuj",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"pineO","chagar",-3,-3,-3,2,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"oahpO","charoc",1,-3,-3,-2,-2,-2,-2,-2,1,-3,-2,1,-2,-2,-2,-2 
"flogO","chrflo",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nortO","cicdor",1,-2,-2,1,-2,-2,-2,-2,1,1,-2,-2,-2,-2,1,-2 
"maskR","colvir",-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawcO","corhaw",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"amcrR","croacu",2,-3,-3,2,-3,-3,-3,2,1,-3,-3,-3,-3,-3,2,2 
"newmO","crowil",-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,1,-2 
"sccyO","cupabr",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"moloO","cyaman",-2,1,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0 
"biplO","cyashi",-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2 
"kauaO","cyrcya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"biplO","cyrgif",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",1,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,-2 
"kirtR","denkir",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",-3,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2,-2,-2,-2,-3,-2 
"tennR","echten",2,2,1,-2,2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2 
"tarrR","ellste",-2,1,-2,-2,1,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,-3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","erycap",-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"seveO","erymen",1,1,1,1,1,1,-2,-2,-2,1,-2,-2,-2,-2,-1,-2 
"threO","eryter",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"slacO","ethbos",-2,-2,1,1,-2,1,-2,2,-1,0,-2,-2,-2,0,0,-2 
"edwaR","ethfon",-3,-2,-2,-3,-2,-2,-3,-2,-2,-3,-2,-2,-3,-2,-2,-2 
"wateR","ethnuc",1,-2,-2,1,-2,-2,1,1,1,1,-2,-2,-2,-2,1,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",-3,-3,-3,-3,-3,-3,-2,-2,-3,-3,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
