1,2,3,4,5,6,7,8,9,Date of Most Current RP (fixed),10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,PLAN,SPECIES
largO,abrmac,Hatch25,largO,1,1,37,35,1992,1992,9,30,0,,,,,0,-2,5,-1,0,2,0,0,0,0,0,0,0,0,-1,0,1,0,1,1,0,0,0,0,0,2,1,0,largO,abrmac 
lanaO,abuere,Estill63,lanaO,9,2,151,107,1995,1995,9,29,0,,,,,0,-2,5,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2,0,lanaO,abuere 
oahpO,abusan,Hoshino2,oahpO,66,2,360,28,1998,1998,8,10,0,,,,,-2,-2,4,11,1,9,0,0,0,0,0,0,11,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,oahpO,abusan 
prraO,accstr,Harvey10,prraO,2,2,34,16,1997,1997,9,8,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,9,7,3,0,0,0,0,11,3,0,prraO,accstr 
oahtO,achlil,Comeaux1,oahtO,41,2,134,44,1992,1992,6,30,0,,,,,0,-2,3,-1,0,0,0,0,0,0,0,3,0,0,10,2,0,1,0,0,1,0,0,1,0,4,1,0,oahtO,achlil 
nighO,acrlus,Nordby10,nighO,1,1,62,17,1998,1998,4,10,0,,,,,0,-2,5,0,0,1,0,0,0,0,0,0,0,0,3,1,0,5,4,9,1,0,0,1,0,5,4,1,nighO,acrlus 
sensO,aesvir,Fisher32,sensO,1,1,55,25,1995,1995,9,29,0,,,,,0,-2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,1,0,sensO,aesvir 
dwweO,alahet,merrick1,dwweO,1,1,52,7,1993,1993,2,8,0,,,,,-1,-2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4,12,16,6,0,0,5,1,4,6,5,dwweO,alahet 
maplO,alemac,Mayer130,maplO,21,2,187,43,1997,1997,7,29,0,,,,,0,-2,5,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,3,1,0,1,1,1,0,1,1,0,1,0,0,maplO,alemac 
kauaO,alslyc,bennett4,kauaO,20,2,129,39,1998,1998,8,23,0,,,,,0,-2,1,5,0,0,0,0,0,0,0,0,0,0,0,-2,1,1,2,1,0,0,1,0,0,1,0,1,kauaO,alslyc 
oahpO,alsobo,Hoshino2,oahpO,66,2,360,28,1998,1998,8,10,0,,,,,-2,-2,4,11,1,9,0,0,0,0,0,0,11,2,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,oahpO,alsobo 
kauaO,alsvis,Lukacs46,kauaO,20,2,138,45,1998,1998,8,23,0,,,,,0,-2,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,0,0,1,0,1,kauaO,alsvis 
prpaO,amavit,Temple99,prpaO,1,1,69,49,1982,1987,11,30,1,1987,,,,1,4,1,2,2,2,0,0,0,0,0,0,0,0,1,0,0,5,2,1,0,0,0,1,1,4,3,1,prpaO,amavit 
