"PLAN","SPECIES","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85"
"largO","abrmac","largO","abrmac","Hatch25","Abronia","macrocar","-2","Galloway","Large-fr",1,2,1988,9,28,0,-2,-2,-2,"2",0,0,0,14,1,0,-1,3,-1,3,8,1,1,7,0,0,"USFWS2",1,2,-1,1,1,1 
"lanaO","abuere","lanaO","abuere","Estill63","Abutilon","eremitop","-2","Caum","-2",1,2,1991,10,21,0,-2,-2,-2,"2",0,0,0,14,1,0,2,1,1,4,2,1,3,2,0,0,"USFWS1",1,1,-2,1,1,0 
"oahpO","abusan","oahpO","abusan","Hoshino2","Abutilon","sandwice","-1","-1","-1",-1,-1,-1,-1,-1,0,-1,-1,-1,"8",0,0,0,14,1,5,-1,1,4,-1,5,1,-1,2,0,0,"USFWS1",-1,2,-1,1,1,0 
"prraO","accstr","prraO","accstr","Harvey10","Accipite","striatus","ssp. ven","Wetmore","Puerto R",2,2,1994,9,9,0,-2,-2,-2,"3",0,0,0,2,3,4,-1,-1,-1,-1,1,2,-1,14,0,0,"USFWS4",2,1,-3,1,1,0 
"oahtO","achlil","oahtO","achlil","Comeaux1","Achatine","lila","-2","Pilsbry","-1",1,2,1981,1,13,0,-2,-2,-2,"-3",0,0,0,8,2,2,3,3,2,3,1,1,-1,2,0,0,"USFWS1",3,-1,3,1,1,0 
"nighO","acrlus","nighO","acrlus","Nordby10","Acroceph","luscinia","luscinia","-1","Nighting",1,2,1970,12,2,0,-2,-2,-2,"8",0,0,0,2,3,4,5,3,4,3,27,2,2,19,0,-2,"USFWS1",1,3,-3,1,1,0 
"sensO","aesvir","sensO","aesvir","Fisher32","Aeschyno","virginic","-2","-1","Sensitiv",1,1,1992,6,19,0,-2,-2,-2,"2",0,0,0,14,1,0,6,1,6,1,19,1,1,9,0,1,"USFWS5",1,2,-1,1,1,0 
"dwweO","alahet","dwweO","alahet","merrick1","Alasmido","heterodo","-2","-2","dwarf we",1,2,1990,3,14,0,-2,-2,-2,"-1",0,0,0,8,4,0,6,3,6,3,21,2,-2,24,1,1,"USFWS5",-2,-1,3,1,1,1 
"maplO","alemac","maplO","alemac","Mayer130","Alectryo","macrococ","-2","Radlkofe","mahoe",1,2,1992,5,15,0,-2,-2,-2,"5",0,0,0,14,1,0,5,2,2,2,12,1,-1,2,0,0,"USFWS1",-1,3,-3,1,1,0 
"kauaO","alslyc","kauaO","alslyc","bennett4","alsinide","lychnoid","-2","hillebra","kuawawae",1,2,1996,11,12,0,-2,-2,-2,"2",0,0,0,14,1,-2,3,-1,3,1,1,1,3,2,0,0,"USFWS7",1,2,-3,1,1,0 
