"PLAN","SPECIES","443ABC","444ABC","445ABC","446ABC","447ABC","448ABC","449ABC","450ABC","451ABC","452ABC","453ABC","454ABC","455ABC","456ABC","457ABC","458ABC"
"largO","abrmac",-2,-2,12,-2,-2,12,-2,-2,-2,-2,12,-2,-2,-2,-2,12 
"lanaO","abuere",-1,-2,-2,-1,-2,-2,12,12,-2,3,-2,-2,-2,-2,-1,-2 
"oahpO","abusan",-2,-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"prraO","accstr",12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",12,12,12,12,12,12,-2,-2,-2,12,-2,12,-2,-2,12,-2 
"sensO","aesvir",-2,12,3,-1,-1,-1,-2,-2,-2,12,-2,-2,-2,-2,3,-2 
"dwweO","alahet",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,-3 
"maplO","alemac",3,3,3,12,-2,12,3,3,3,3,12,-2,-2,3,3,-2 
"kauaO","alslyc",12,12,12,12,12,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2 
"oahpO","alsobo",-2,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prpaO","amavit",12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ashmO","ambama",-2,-2,-2,12,-2,-2,-2,-2,1,12,-2,-2,1,-2,-2,-2 
"ozarR","ambros",-2,10,10,-2,10,10,10,-2,10,-2,-2,-2,12,-2,12,-2 
"sonoR","antame",12,12,12,-3,12,12,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",-1,-2,-2,-1,-2,-2,-1,-1,-1,12,-1,-1,-2,-1,12,-2 
