"PLAN","SPECIES","89B","90B","91B","92B","93B","94B","95B","96B","97B","98B","99B","100B","101B","102B","103B","104B","105B","106B","107B","108B","109B","110B","111B","112B","113B","114B","115B","116B","117B","118B","119B","120B","121B","122B","123B","124B","125B","126B"
"largO","abrmac",3,-2,-2,-2,-2,2,2,2,3,-2,-2,3,2,2,-2,-2,-2,-2,-2,2,3,-2,3,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2 
"lanaO","abuere",2,2,-2,-2,-2,2,2,1,1,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"oahpO","abusan",2,2,-2,-2,-2,-1,-1,2,3,-1,-1,3,3,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1 
"prraO","accstr",2,2,-2,2,-2,2,2,2,2,2,-2,3,3,3,-2,3,-2,-2,-2,-2,3,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",2,2,-2,-2,-2,2,2,2,2,-2,2,2,-2,2,-2,2,-2,-2,3,2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,2,-2,2 
"nighO","acrlus",2,2,-2,-2,-2,2,2,1,1,-2,-2,3,3,3,2,3,-2,-2,-2,2,3,-2,-2,-2,-2,2,-2,2,-2,-2,-2,3,2,3,2,2,2,-2 
"sensO","aesvir",3,3,-2,-2,-2,3,1,1,1,-2,-2,3,3,3,3,4,-2,-2,2,2,3,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,3 
"dwweO","alahet",2,2,-2,-2,-2,2,2,3,3,2,-2,3,3,2,-2,-2,-2,-2,3,2,-2,-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"maplO","alemac",2,2,-2,-2,-2,2,1,1,1,1,-2,1,1,1,-2,-2,-2,-2,2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,6,6,6,-2 
"kauaO","alslyc",2,1,-2,-2,-2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,2,2,-1,-1 
"oahpO","alsobo",2,2,-2,-2,-2,-1,-1,2,-2,-1,-1,3,3,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1 
"kauaO","alsvis",2,1,-2,-2,-2,2,-2,2,3,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2 
"prpaO","amavit",2,2,2,3,2,3,3,2,2,-2,-2,3,-2,3,-2,3,-2,-2,-2,2,3,3,3,-2,-2,-2,3,-2,-2,-2,-2,2,2,-2,2,2,2,-2 
"ashmO","ambama",2,3,-2,-2,-2,-2,3,3,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,-2,-2 
"ozarR","ambros",3,1,2,-2,-2,2,2,1,1,-2,-2,-2,3,3,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,2,2,2,-2 
"sonoR","antame",2,2,2,2,2,2,2,1,1,2,-2,3,-2,2,-2,3,2,-2,-2,2,3,3,3,-2,3,2,2,3,2,-2,-2,2,2,2,3,2,-2,2 
"antiR","apomor",3,3,2,2,-2,2,2,3,3,3,-2,3,-2,-2,-2,-2,-2,3,3,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,3,2,-2,-2 
