"PLAN","SPECIES","374CCC","375CCC","376CCC","377CCC"
"largO","abrmac",1,1,1,1 
"lanaO","abuere",-2,-2,-2,-2 
"oahpO","abusan",-1,-1,-2,-1 
"prraO","accstr",1,1,-2,1 
"oahtO","achlil",-3,-3,-3,-3 
"nighO","acrlus",0,0,0,-2 
"sensO","aesvir",1,1,1,1 
"dwweO","alahet",-3,-3,-3,-3 
"maplO","alemac",0,0,0,2 
"kauaO","alslyc",0,-2,-2,0 
"oahpO","alsobo",-1,-1,-2,-1 
"kauaO","alsvis",0,0,0,-2 
"prpaO","amavit",1,1,1,-2 
"ashmO","ambama",-2,-2,-2,1 
"ozarR","ambros",1,1,1,1 
"sonoR","antame",-3,-3,-3,-3 
"antiR","apomor",1,1,-2,-2 
"raveO","archoo",-2,-2,-2,1 
"dwbeO","archum",1,1,-2,2 
"fourO","arcmor",1,1,1,-2 
"maunO","argsan",1,-2,-2,1 
"anthO","athant",1,1,1,1 
"virgR","betube",2,2,-2,1 
"flscR","bongra",1,1,-2,0 
"aleuR","bracan",-2,-2,-2,1 
"cavpO","brasan",1,1,-2,-2 
"kaupO","briins",0,-2,-2,-2 
"palmO","calriv",1,-2,-2,1 
"grayO","canlup",2,-3,-3,2 
"eastR","canlup",-1,1,-1,2 
"redwR","canruf",2,2,2,-2 
"ashmO","cennam",2,2,-2,-1 
"cuiuR","chacuj",-3,-3,-3,-3 
"pineO","chagar",2,-3,-3,2 
"oahpO","charoc",-3,1,-3,1 
"flogO","chrflo",0,0,-2,1 
"nortO","cicdor",1,1,-2,1 
"maskR","colvir",1,1,1,-2 
"hawcO","corhaw",2,-2,1,-2 
"amcrR","croacu",-3,2,-3,-3 
"newmO","crowil",0,0,-2,1 
"sccyO","cupabr",-3,-3,-3,-2 
"moloO","cyaman",1,-2,1,-2 
"biplO","cyashi",-2,-2,-2,1 
"fishR","cypfor",1,1,1,1 
"kauaO","cyrcya",0,0,-2,-2 
"biplO","cyrgif",-2,-2,-2,1 
"oahpO","cyrvir",-2,-2,-2,-2 
"kirtR","denkir",-2,-1,-2,-1 
"flomO","dicchr",-2,-3,-3,-2 
"tennR","echten",2,2,2,-2 
"tarrR","ellste",1,1,1,1 
"cavpO","eryari",-3,-2,-2,-2 
"antiR","erycap",1,1,-2,-2 
"flscR","erycun",1,1,-2,1 
"seveO","erymen",1,1,1,1 
"threO","eryter",-2,-2,-2,-2 
"slacO","ethbos",0,0,0,0 
"edwaR","ethfon",-3,-2,-3,-3 
"wateR","ethnuc",-2,-2,-2,1 
"okalO","ethoka",-2,-2,-2,-2 
"bayoR","ethrub",-3,-3,-2,-3 
