"PLAN","SPECIES","405GGG","406GGG","407GGG","408GGG","409GGG","410GGG","411GGG","412GGG","413GGG","414GGG","415GGG","416GGG","417GGG","418GGG","419GGG","420GGG"
"largO","abrmac",-2,10,10,-2,-2,10,10,10,-2,-2,10,-2,-2,-2,-2,10 
"lanaO","abuere",5,5,5,-2,-2,5,-2,-2,-2,5,-2,-2,-2,-2,-2,-2 
"oahpO","abusan",-2,5,5,-2,-2,-2,5,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"prraO","accstr",7,7,7,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",5,5,5,5,5,5,-2,-2,-2,-1,-2,-1,-2,-2,-1,-2 
"sensO","aesvir",10,-2,-2,10,-2,-2,-1,-1,-1,-1,-2,-1,-2,-2,-1,-2 
"dwweO","alahet",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2 
"maplO","alemac",5,5,5,5,5,5,5,5,5,5,-2,-2,-2,5,5,-2 
"kauaO","alslyc",5,5,5,5,5,5,-1,-1,-1,-1,-1,-1,-2,-1,-2,-1 
"oahpO","alsobo",-2,5,5,-2,-2,-2,5,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",5,5,5,-2,-2,-2,5,-2,-2,5,5,-2,-2,5,-2,-2 
"prpaO","amavit",5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,5 
"ashmO","ambama",-2,-2,-2,15,-2,-2,-2,-2,15,15,-2,-2,15,-2,-2,-2 
"ozarR","ambros",-2,-1,-2,-1,-1,10,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2 
"sonoR","antame",5,5,-1,5,5,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2 
"dwbeO","archum",-2,-1,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1 
"maunO","argsan",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,-2 
"anthO","athant",-2,10,10,-2,10,10,-2,-2,10,10,10,-2,-2,-2,-2,-2 
"virgR","betube",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,5,-1,-2,-2,-1,-2 
"aleuR","bracan",-1,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,3,-2,3 
"cavpO","brasan",-2,-2,-2,10,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","briins",-2,5,5,-2,-2,5,5,-2,-2,5,-2,-2,-2,5,5,-2 
"palmO","calriv",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"grayO","canlup",3,-2,-2,3,-2,-2,-2,-2,-2,-1,-2,-1,-2,-1,-2,-2 
"eastR","canlup",5,5,5,-2,-2,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",150,150,150,150,-1,-1,150,-2,-2,-2,-2,-2,-2,-2,-2,150 
"ashmO","cennam",16,16,16,16,16,16,-1,-1,-1,-1,16,-1,16,16,16,-1 
"cuiuR","chacuj",15,-2,-2,15,-2,-2,-2,-2,24,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","charoc",-1,-1,-1,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"flogO","chrflo",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nortO","cicdor",5,-2,-2,5,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"maskR","colvir",-2,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawcO","corhaw",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"amcrR","croacu",30,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2 
"sccyO","cupabr",5,5,5,5,5,-2,-2,5,5,5,5,-2,-2,-2,5,-2 
"moloO","cyaman",-2,5,5,-2,-2,5,-2,-2,-2,5,-2,-2,-2,-2,-2,-2 
"biplO","cyashi",5,5,5,5,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,-2,-2,10,-2,-2,-2,-2,10,-2,-2,-2,10,-2,10,-2 
"kauaO","cyrcya",5,5,5,5,-2,5,-1,-1,-1,-1,-1,-1,-2,-1,-2,-2 
"biplO","cyrgif",5,5,5,5,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",5,-2,-2,5,-2,-2,5,-2,-2,5,-2,-2,-2,-2,5,-2 
"kirtR","denkir",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tennR","echten",0,0,0,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2 
"tarrR","ellste",-2,20,-2,-2,20,-2,20,20,-2,-2,20,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","erycap",-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2 
"seveO","erymen",20,20,20,20,20,20,20,20,20,20,-2,-2,-2,-2,21,-2 
