"PLAN","SPECIES","130J","131J","132J","133J","134J","135J","136J","137J","138J","139J","140J","141J","142J","143J","144J","145J","146J","147J","148J","149J","150J","151J","152J","153J","154J","155J","156J","157J","158J","159J","160J","161J","162J","163J","164J","165J","166J","167J"
"largO","abrmac",1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,1,1,-2,1,1,1,1,-2,1,1,1,-2,0,0,-2,-2,-2,-2,-2,-2,1,1,2,1 
"lanaO","abuere",-1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,1,-2,-2,1,1,1,1,1,1,-2,1,-2,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2 
"oahpO","abusan",-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2 
"prraO","accstr",1,1,1,1,-2,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2 
"oahtO","achlil",2,2,-3,-3,-3,-3,-3,-3,2,-3,-3,-2,-3,-3,-3,2,-3,-3,2,-3,2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3 
"nighO","acrlus",1,1,-2,-2,-2,1,1,0,-2,-2,-2,1,0,1,-2,1,-2,-2,1,1,1,-2,-2,-2,-2,0,-2,0,-2,-2,-2,1,-2,-2,1,0,-2,-2 
"sensO","aesvir",1,1,-2,-2,-2,0,0,-2,0,-2,-2,0,0,-2,-2,1,-2,1,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,1 
"dwweO","alahet",1,1,1,-2,-2,2,1,-2,1,-2,-2,1,1,1,-2,1,-2,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"maplO","alemac",1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,0,0,2,-2,0,0,0,0,-2,0,0,0,0,-2,1,-2,-2,-2,0,0,-2,-2,-2,2,1,-2,-1 
"kauaO","alslyc",1,1,-2,-2,-2,1,1,-2,1,1,-2,1,1,-3,-2,-1,0,0,0,-2,-1,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2 
