"PLAN","SPECIES","130K","131K","132K","133K","134K","135K","136K","137K","138K","139K","140K","141K","142K","143K","144K","145K","146K","147K","148K","149K","150K","151K","152K","153K","154K","155K","156K","157K","158K","159K","160K","161K","162K","163K","164K","165K","166K","167K"
"largO","abrmac",12,12,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,12,-2,12,12,-2,12,12,12,12,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,12,12,12 
"lanaO","abuere",-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,-2,3,-2,3,-2,-2,3,3,3,3,3,3,-2,3,-2,-2,-2,-2,3,3,-2,-2,3,-2,-2,-2 
"oahpO","abusan",-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2 
"prraO","accstr",12,12,12,12,-2,-2,-2,-2,-2,-2,-2,12,12,12,-2,12,-2,-2,-2,-2,12,12,12,12,-2,-2,-2,-2,-2,-2,12,-2,-2,-2,12,-2,-2,-2 
"oahtO","achlil",12,10,-3,-3,-3,-3,-3,-3,12,-3,-3,-2,-3,-3,-3,10,-3,-3,10,-3,10,10,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,12,12,-3,-3 
"nighO","acrlus",12,12,-2,-2,-2,12,12,-2,-2,-2,-2,12,-2,12,-2,12,-2,-2,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,12,-2,-2,-2 
"sensO","aesvir",12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,12,-2,-2,12,-2,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12 
"dwweO","alahet",12,12,12,-2,-2,12,12,-2,12,-2,-2,12,12,12,-2,12,-2,-2,12,12,-2,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,-2,-2 
"maplO","alemac",2,3,-2,-2,-2,3,-2,-2,3,2,2,12,3,3,-2,2,2,2,2,-2,2,2,2,2,-2,12,-2,-2,-2,2,2,-2,-2,-2,12,3,-2,3 
"kauaO","alslyc",12,12,-2,-2,-2,12,12,-2,12,12,-2,12,12,-3,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,8,-2,-2,-2,-2,-2,-2,-2,-2,3,12,-2,-2 
