"PLAN","SPECIES","405MMM","406MMM","407MMM","408MMM","409MMM","410MMM","411MMM","412MMM","413MMM","414MMM","415MMM","416MMM","417MMM","418MMM","419MMM","420MMM"
"largO","abrmac",-2,0,0,-2,-2,0,0,0,-2,-2,0,-2,-2,-2,-2,0 
"lanaO","abuere",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","abusan",-2,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2 
"prraO","accstr",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",3,3,3,3,3,3,-2,-2,-2,3,-2,3,-2,-2,3,-2 
"sensO","aesvir",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-2,-1,-2,-2,-1,-2 
"dwweO","alahet",0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-2 
"maplO","alemac",0,0,0,0,0,0,3,3,3,0,-2,-2,-2,0,0,-2 
"kauaO","alslyc",0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-1,-2,-1 
"oahpO","alsobo",-2,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",3,3,3,-2,-2,-2,3,-2,-2,3,3,-2,-2,3,-2,-2 
"prpaO","amavit",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,3 
"ashmO","ambama",-2,-2,-2,0,-2,-2,-2,-2,3,3,-2,-2,0,-2,-2,-2 
"ozarR","ambros",-2,3,-2,0,0,3,0,-2,0,-2,-2,-2,0,-2,3,-2 
"sonoR","antame",-1,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-2,-2,-1,-1,-2 
"dwbeO","archum",-2,0,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0 
"maunO","argsan",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2 
"anthO","athant",-2,0,0,-2,0,0,-2,-2,0,0,0,-2,-2,-2,-2,-2 
"virgR","betube",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",-2,0,-2,-2,-2,-2,-2,0,-2,-2,0,0,-2,-2,0,-2 
"aleuR","bracan",0,-2,-2,0,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,0 
"cavpO","brasan",-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","briins",-2,3,3,-2,-2,3,3,-2,-2,3,-2,-2,-2,3,3,-2 
"palmO","calriv",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"grayO","canlup",3,-2,-2,3,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2 
"eastR","canlup",0,0,0,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",5,5,5,5,-2,5,5,-2,-2,-2,-2,-2,-2,-2,-2,5 
"ashmO","cennam",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"cuiuR","chacuj",3,-2,-2,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","charoc",-2,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,-2,-2,-2,-2 
"flogO","chrflo",-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nortO","cicdor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"maskR","colvir",-2,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawcO","corhaw",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"amcrR","croacu",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,0,-2 
"sccyO","cupabr",-1,-1,-1,-1,-1,-2,-2,0,0,5,5,-2,-2,-2,0,-2 
"moloO","cyaman",-2,3,3,-2,-2,3,-2,-2,-2,3,-2,-2,-2,-2,-2,3 
"biplO","cyashi",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,0,-2,0,-2 
"kauaO","cyrcya",3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-2,-1,-2,-2 
"biplO","cyrgif",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",3,-2,-2,3,-2,-2,3,-2,-2,3,-2,-2,-2,-2,3,-2 
"kirtR","denkir",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",0,-2,-2,-2,-2,-2,-2,1,1,1,-2,-2,-2,-2,1,-2 
"tennR","echten",3,3,3,-2,-2,-2,-2,3,-2,-2,3,-2,-2,-2,-2,-2 
"tarrR","ellste",-2,3,-2,-2,3,-2,3,3,-2,-2,3,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","erycap",-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2 
"seveO","erymen",0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,-2 
"threO","eryter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2 
"slacO","ethbos",-2,-2,0,0,-2,0,-2,0,0,0,-2,-2,-2,0,0,-2 
"edwaR","ethfon",2,-2,-2,2,-2,-2,0,-2,-2,0,-2,-2,2,-2,-2,-2 
"wateR","ethnuc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,-1,-2,-2,-2,-1,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"edwaR","eurnan",3,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2 
"pereO","falper",3,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,0,0,0,0,-2,0,-2,5,0,0 
"hawwR","fulame",2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,-2 
"lanaO","gahlan",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawwR","galchl",5,5,-2,5,5,5,5,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",-1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1 
"hawgO","garbri",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"unarR","gasacu",-2,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",0,0,0,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2 
