"PLAN","SPECIES","424QQQ","425QQQ","426QQQ","427QQQ","428QQQ","429QQQ","430QQQ","431QQQ","432QQQ","433QQQ","434QQQ","435QQQ","436QQQ","437QQQ","438QQQ","439QQQ"
"largO","abrmac",-2,0,0,-2,-2,1,0,0,-2,-2,0,-2,-2,-2,-2,0 
"lanaO","abuere",0,-2,-2,0,-2,-2,0,0,0,0,-2,-2,-2,-2,0,-2 
"oahpO","abusan",-2,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2 
"prraO","accstr",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",0,0,0,0,0,0,-2,-2,-2,0,-2,0,-2,-2,0,-2 
"sensO","aesvir",0,-2,-2,0,-2,-2,-2,0,0,0,-2,0,-2,-2,0,-2 
"dwweO","alahet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2 
"maplO","alemac",0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,-2 
"kauaO","alslyc",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0 
"oahpO","alsobo",-2,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",0,0,0,-2,-2,-2,0,-2,-2,0,0,-2,-2,0,-2,-2 
"prpaO","amavit",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"ashmO","ambama",-2,-2,-2,0,-2,-2,-2,-2,0,0,-2,-2,0,-2,-2,-2 
"ozarR","ambros",-2,0,0,-2,0,0,0,-2,0,-2,-2,-2,0,-2,0,-2 
"sonoR","antame",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",0,-2,-2,-1,-2,-2,-1,0,0,0,0,-1,-2,0,0,-2 
"dwbeO","archum",-2,0,-2,1,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0 
"maunO","argsan",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2 
"anthO","athant",-2,0,0,-2,0,0,-2,-2,0,0,0,-2,-2,-2,-2,-2 
"virgR","betube",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",-2,0,-2,-2,-2,-2,-2,0,-2,-2,0,0,-2,-2,0,-2 
"aleuR","bracan",0,-2,-2,0,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,0 
"cavpO","brasan",-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","briins",-2,0,0,-2,-2,0,0,-2,-2,0,-2,-2,-2,0,0,-2 
"palmO","calriv",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"grayO","canlup",0,-2,-2,0,-2,-2,-2,-2,-1,-1,-2,-1,-2,0,-2,-2 
"eastR","canlup",0,0,0,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",0,0,0,0,-1,0,0,-1,-1,-1,0,-2,-2,-2,-2,0 
"ashmO","cennam",0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1 
"cuiuR","chacuj",0,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","charoc",0,0,0,-2,-2,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2 
"flogO","chrflo",-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nortO","cicdor",0,-2,-2,0,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"maskR","colvir",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawcO","corhaw",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"amcrR","croacu",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,0,-2 
"sccyO","cupabr",1,0,1,-2,-2,0,1,0,0,1,0,-2,-2,-2,0,-2 
"moloO","cyaman",-2,0,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0 
"biplO","cyashi",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,0,-2,0,-2 
"kauaO","cyrcya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"biplO","cyrgif",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",0,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,-2,-2,0,-2 
"kirtR","denkir",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tennR","echten",0,0,0,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2 
"tarrR","ellste",-2,0,-2,-2,0,-2,0,0,-2,-2,0,-2,-2,-2,-2,-2 
"cavpO","eryari",0,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","erycap",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2 
"seveO","erymen",0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0 
"threO","eryter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1 
"slacO","ethbos",-2,-2,0,0,-2,0,-2,0,0,0,-2,-2,-2,0,0,-2 
"edwaR","ethfon",0,-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2 
"wateR","ethnuc",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",0,0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"maryR","ethsel",-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"elseO","eupbat",-2,1,-2,-2,-2,0,-2,0,0,-2,-2,-2,-2,-2,0,-2 
"edwaR","eurnan",0,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2 
"pereO","falper",1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"ampeO","falper",-2,-2,-2,-2,-2,-2,0,0,0,0,-2,0,-2,0,0,0 
"hawwR","fulame",0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,-2 
"lanaO","gahlan",0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-1,-2 
"hawwR","galchl",0,0,0,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","gamgeo",0,-2,-2,-2,-2,-2,0,0,0,0,-2,-2,-2,-2,-2,0 
"hawgO","garbri",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"unarR","gasacu",-2,-1,-2,-2,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"maplO","gerarb",0,0,0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"humpR","gilcyp",-2,0,-2,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"chihO","gilnig",-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2 
"fishR","gilpur",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"whooR","gruame",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"missR","grucan",0,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2 
"cacoR","gymcal",0,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0,-2 
"gnomO","gymlin",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"todsO","hedtod",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",0,0,0,0,-2,-2,0,0,0,0,-2,0,-2,0,-2,-2 
"moloO","hibarn",-2,0,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0 
"kaupO","hibcla",0,0,0,0,0,0,-2,-2,-2,0,0,-2,-2,0,-2,-2 
"kauaO","hibwoo",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0 
"hawwR","himmex",0,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,0,-2 
"flscO","hypcum",-2,-2,-2,0,0,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2 
"smalR","isomed",1,1,1,1,1,1,0,1,1,0,1,-2,-2,1,1,-2 
"beacO","jacrec",-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","labcyr",-1,0,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1 
"pinkO","lamabr",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2 
"snakO","lanxsp",-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"caroO","lasdec",-2,0,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2 
"praiO","leslep",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",1,1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2 
"kaupO","lipfau",0,0,0,0,0,0,-2,-2,-2,0,0,-2,-2,0,-2,-2 
"oahpO","loboah",1,1,1,0,0,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,0 
"lotiO","lycarg",-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"roleO","lysasp",-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2 
"apalO","macalb",-2,1,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2 
"mohrO","marmoh",0,0,0,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,0,0 
"kaupO","melpal",0,0,0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2 
"oahpO","melsai",0,0,0,0,0,0,0,-1,-1,0,-1,-1,-2,-1,-1,-2 
"armaO","miccal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hualO","micmex",-2,0,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2 
"blacR","musnig",1,1,1,-2,1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,1 
"kaufO","myapal",0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"indiR","myosod",-2,0,0,-2,0,0,-2,0,0,0,-2,-2,-2,-2,0,-2 
"oahpO","nothum",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,0,1,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2 
"neosO","notpla",-2,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2 
"ringO","oboret",0,0,0,0,0,0,0,-2,0,0,-2,-2,-2,-2,-2,-2 
"keydR","odvicl",0,-2,-2,0,-2,-2,0,0,0,0,0,-2,-2,-2,0,0 
"coluR","odvile",1,1,1,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,1,-2 
"antiR","oendel",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"arizR","oncapa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"grcuR","onccla",0,0,0,0,0,0,-2,0,0,0,0,-2,-2,0,-2,-2 
"gilaR","oncgil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nashR","orcsho",0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"flscR","parcha",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"mamoO","parfla",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bradO","pedbra",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"furbR","pedfur",1,1,1,1,1,1,1,1,1,1,-2,-2,1,-2,1,-2 
"prcrO","pellem",0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"anasO","perpol",1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snaiR","pertan",0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,0,-2,-2 
"lanaO","phygla",-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0 
"biadO","phyrac",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"redcR","picbor",-2,0,1,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2 
"ropiO","pleple",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"shenO","pleshe",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","poeocc",-2,1,-2,-2,-2,1,-2,-2,1,1,1,-2,1,-2,-2,-2 
"cavpO","pognud",-2,-2,-2,0,-2,0,-2,-2,0,0,-2,-2,-2,-2,0,-2 
"flscR","polbas",-2,0,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,0,-2 
"fatpR","potcap",0,0,0,0,0,-2,0,0,-2,-2,0,-2,-2,0,-2,-2 
"littO","potcly",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","prugen",0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"guamO","ptemar",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2 
"harpO","ptinod",-2,1,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2 
"coloR","ptyluc",-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,0,-2 
"flopR","pumcon",-1,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"alamO","pyrneo",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tombO","quasta",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
