"PLAN","SPECIES","425RRR","426RRR","427RRR","428RRR","429RRR","430RRR","431RRR","432RRR","433RRR","434RRR","435RRR","436RRR","437RRR","438RRR","439RRR"
"largO","abrmac",0,0,-2,-2,0,0,0,-2,-2,0,-2,-2,-2,-2,0 
"lanaO","abuere",-2,-2,0,-2,-2,0,0,0,0,-2,-2,-2,-2,0,-2 
"oahpO","abusan",0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2 
"prraO","accstr",0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",0,0,0,0,0,-2,-2,-2,0,-2,0,-2,-2,0,-2 
"sensO","aesvir",-2,-2,0,-2,-2,-2,0,0,0,-2,0,-2,-2,0,-2 
"dwweO","alahet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2 
"maplO","alemac",0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,-2 
"kauaO","alslyc",0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0 
"oahpO","alsobo",0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",0,0,-2,-2,-2,0,-2,-2,0,0,-2,-2,0,-2,-2 
"prpaO","amavit",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"ashmO","ambama",-2,-2,0,-2,-2,-2,-2,0,0,-2,-2,0,-2,-2,-2 
"ozarR","ambros",0,0,-2,0,0,0,-2,0,-2,-2,-2,0,-2,0,-2 
"sonoR","antame",0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",-2,-2,-1,-2,-2,-1,0,0,0,0,-1,-2,0,0,-2 
"dwbeO","archum",0,-2,1,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0 
"maunO","argsan",0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2 
"anthO","athant",0,0,-2,0,0,-2,-2,0,0,0,-2,-2,-2,-2,-2 
