"PLAN","SPECIES","347SS","348SS","349SS","350SS","351SS","352SS","353SS","354SS","355SS","356SS","357SS","358SS","359SS","360SS","361SS","362SS","363SS","364SS","365SS","366SS","367SS","368SS","369SS","370SS"
"largO","abrmac",-2,-2,-1,-2,-2,-2,-1,-1,-1,-2,-2,-1,-1,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2 
"lanaO","abuere",1,-2,-2,-2,-2,1,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","abusan",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",-1,-1,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",1,3,3,3,-2,2,3,3,-2,2,-2,-2,2,-2,2,-2,-2,2,-2,2,2,2,2,-2 
"sensO","aesvir",1,3,-1,1,1,1,2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,3,-2,3,3,-2 
"dwweO","alahet",2,2,2,2,2,2,3,3,3,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,-2 
"maplO","alemac",3,3,3,3,3,3,1,-2,3,-2,-2,1,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2 
"kauaO","alslyc",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,2,-2,-2,-2,-2,-2,-2 
"oahpO","alsobo",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",1,-2,1,1,1,2,1,1,1,1,-2,-2,-2,-2,1,-2,1,1,-2,1,-2,1,-2,-2 
"prpaO","amavit",-1,-1,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-1,-2,-1,-1,-2,-1,-2,-1,-2,-1,-2,-2 
"ashmO","ambama",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,1,-2,-2,-2,-2 
"ozarR","ambros",2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-1,-2 
"sonoR","antame",-1,2,2,-2,-2,-2,1,1,-2,-1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2 
"raveO","archoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2 
"dwbeO","archum",-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"maunO","argsan",3,3,3,-2,-2,-2,2,2,3,3,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"anthO","athant",-1,-1,-1,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2 
"virgR","betube",-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",2,1,-2,-2,-2,-2,-1,-2,-1,3,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,1,2,-2 
"aleuR","bracan",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"cavpO","brasan",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,-2 
"kaupO","briins",3,3,3,3,3,3,3,3,-2,-2,-2,-2,1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2 
"palmO","calriv",1,1,1,1,-2,1,1,1,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,1,-2,3,-2,-2 
"grayO","canlup",-1,-1,-1,-1,-1,-2,-2,1,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"eastR","canlup",-2,2,2,2,2,-2,2,2,-2,2,2,2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ashmO","cennam",-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"cuiuR","chacuj",-2,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,-1,-1,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"oahpO","charoc",1,1,1,1,1,1,1,1,1,1,-2,1,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,-2 
"flogO","chrflo",-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2 
"nortO","cicdor",-2,3,3,3,3,3,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-2 
"maskR","colvir",-2,1,1,-2,-2,-2,3,3,3,2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,3 
"hawcO","corhaw",-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2 
"amcrR","croacu",-2,1,1,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,1,1,1,1,1,1,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"sccyO","cupabr",-2,-2,-2,-2,-2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-1,-1,-2,2,-2,2,-2,-2 
"moloO","cyaman",-2,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-1,-2,-1,-1,-1,-1,-2 
"biplO","cyashi",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-2 
"kauaO","cyrcya",1,1,2,1,-2,3,2,2,3,3,-2,2,2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2 
"biplO","cyrgif",-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
