"PLAN","SPECIES","347TT","348TT","349TT","350TT","351TT","352TT","353TT","354TT","355TT","356TT","357TT","358TT","359TT","360TT","361TT","362TT","363TT","364TT","365TT","366TT","367TT","368TT","369TT","370TT"
"largO","abrmac",-2,-2,1,-2,-2,-2,0,0,0,-2,-2,0,0,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2 
"lanaO","abuere",0,-2,-2,-2,-2,0,0,-2,0,0,-2,-2,-2,-2,0,-2,0,0,0,-2,-2,-2,-2,-2 
"oahpO","abusan",0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",2,2,2,-2,-2,-2,2,2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,1,-2,2,-2,-2,2,-2,1,1,1,1,-2 
"sensO","aesvir",2,1,-1,1,1,1,2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,1,-2,2,0,-2 
"dwweO","alahet",1,1,1,1,0,1,2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,1,-2,2,-2,-2 
"maplO","alemac",2,2,2,2,2,2,2,-2,2,-2,-2,2,2,-2,2,2,1,1,1,-1,2,2,2,-2 
"kauaO","alslyc",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,2,-2,-2,-2,-2,-2,-2 
"oahpO","alsobo",0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",2,-2,1,2,2,2,2,2,2,2,-2,-2,-2,-2,2,-2,2,2,-2,2,-2,2,-2,-2 
"prpaO","amavit",-1,-1,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-1,-2,-1,-1,-2,-1,-2,-1,-2,-1,-2,-2 
"ashmO","ambama",-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,0,-2,-2,-2,-2 
"ozarR","ambros",2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,1,-2 
"sonoR","antame",2,2,2,-2,-2,-2,2,2,-2,2,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2 
"raveO","archoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1 
"dwbeO","archum",-2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"maunO","argsan",1,1,1,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"anthO","athant",0,0,0,0,0,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,2,-2,-2 
"virgR","betube",-2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,1,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",2,2,-2,-2,-2,-2,2,-2,2,2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,2,-2 
"aleuR","bracan",-2,2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"cavpO","brasan",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,-2 
"kaupO","briins",1,1,1,1,1,1,1,1,-2,-2,-2,-2,2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"palmO","calriv",2,2,2,2,-2,2,2,2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,2,-2,-2 
"grayO","canlup",2,2,2,2,2,-2,-2,2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"eastR","canlup",-2,1,1,1,1,-2,1,1,-2,0,1,1,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ashmO","cennam",2,2,2,-2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"cuiuR","chacuj",-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,0,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"oahpO","charoc",2,2,2,2,2,2,1,1,2,2,-2,2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,2,-2 
"flogO","chrflo",-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2,0,-2,-2 
"nortO","cicdor",-2,1,1,1,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2,2,-2 
"maskR","colvir",-2,2,2,-2,-2,-2,2,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,2 
"hawcO","corhaw",0,0,0,0,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"amcrR","croacu",-2,1,1,-2,-2,-2,0,0,0,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,2,2,2,2,2,1,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"sccyO","cupabr",-2,-2,-2,-2,-2,0,0,0,0,0,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,-2 
"moloO","cyaman",-2,0,0,0,0,-2,-2,0,0,-2,-2,0,0,-2,-2,-2,-2,2,-2,1,1,1,1,-2 
"biplO","cyashi",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",2,2,2,2,-2,2,0,0,0,0,-2,-2,-2,0,0,0,0,0,-2,0,0,0,0,-2 
"kauaO","cyrcya",2,2,2,2,-2,2,2,2,1,1,-2,1,2,-2,2,2,-2,2,-2,-2,-2,-2,-2,-2 
"biplO","cyrgif",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",-2,1,1,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,1,-2 
"kirtR","denkir",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-1,-2 
"flomO","dicchr",-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"tennR","echten",-2,2,2,2,2,2,-2,-2,-2,-2,-2,2,2,-2,-2,-2,2,-2,-2,-2,-2,2,-2,-2 
"tarrR","ellste",1,1,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2 
"antiR","erycap",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",2,0,-2,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2 
"seveO","erymen",-2,1,1,1,1,1,2,2,2,-2,-2,-2,-2,-2,-2,1,1,1,-2,1,-2,-2,-2,-2 
"threO","eryter",-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1 
"slacO","ethbos",2,2,2,-2,-2,2,2,2,2,-2,2,2,-2,2,-2,2,-2,-2,-2,2,2,2,2,-2 
"edwaR","ethfon",2,2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,1,1,2,2,-2 
"wateR","ethnuc",-2,0,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",2,2,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,-2 
"elseO","eupbat",0,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,1,-2,-2 
"pereO","falper",2,2,-2,-2,-2,2,-2,2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"ampeO","falper",2,2,2,-2,-2,-2,2,2,-2,-2,2,-2,2,2,2,-2,2,-2,-2,2,-2,2,-2,2 
"hawwR","fulame",1,1,1,1,1,1,1,-1,-1,-1,1,-1,-2,1,1,1,1,1,-2,1,1,1,1,-2 
"lanaO","gahlan",-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,2,-2,2,-2,-2,2,-2,-2,-2,2,-2,-2 
"hawwR","galchl",1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2 
"edwaR","gamgeo",-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,2,-2 
"hawgO","garbri",-2,1,-2,-1,-2,-2,2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2 
"maplO","gerarb",-2,1,1,1,1,-2,1,-2,1,-2,-2,-2,-2,-2,2,2,1,2,-2,1,1,1,1,-2 
"humpR","gilcyp",-2,-1,-1,-1,-2,-2,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"chihO","gilnig",-2,2,2,-2,-2,-2,2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,2,2,-2 
"fishR","gilpur",-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2 
"whooR","gruame",-2,-2,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,2,-2,-2,1,-2,-2,-2,1,-2,1,-2 
"missR","grucan",1,1,1,-2,-2,-2,2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cacoR","gymcal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gnomO","gymlin",2,0,0,2,1,1,-2,-2,0,2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,1,1,1 
