"PLAN","SPECIES","424TTT","425TTT","426TTT","427TTT","428TTT","429TTT","430TTT","431TTT","432TTT","433TTT","434TTT","435TTT","436TTT","437TTT","438TTT","439TTT"
"largO","abrmac",-2,0,0,-2,-2,1,0,0,-2,-2,0,-2,-2,-2,-2,0 
"lanaO","abuere",1,-2,-2,1,-2,-2,1,1,2,2,-2,-2,-2,-2,0,-2 
"oahpO","abusan",-2,0,0,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2 
"prraO","accstr",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",0,0,0,0,0,0,-2,-2,-2,1,-2,1,-2,-2,1,-2 
"sensO","aesvir",2,-2,-2,2,-2,-2,-2,0,0,0,-2,0,-2,-2,2,-2 
"dwweO","alahet",2,2,1,1,1,1,2,2,2,2,2,1,1,2,1,-2 
"maplO","alemac",1,0,0,1,0,0,2,1,1,2,1,-2,-2,1,0,-2 
"kauaO","alslyc",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0 
"oahpO","alsobo",-2,0,0,-2,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",1,1,1,-2,-2,-2,1,-2,-2,2,2,-2,-2,1,-2,-2 
"prpaO","amavit",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"ashmO","ambama",-2,-2,-2,0,-2,-2,-2,-2,0,1,-2,-2,1,-2,-2,-2 
"ozarR","ambros",-2,1,1,-2,2,1,2,-2,1,-2,-2,-2,2,-2,2,-2 
"sonoR","antame",2,0,2,2,0,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",0,-2,-2,-1,-2,-2,0,0,0,0,0,-1,-2,0,0,-2 
"dwbeO","archum",-2,2,-2,0,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,0 
"maunO","argsan",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,-2,-2 
"anthO","athant",-2,1,1,-2,0,0,-2,-2,0,0,0,-2,-2,-2,-2,-2 
"virgR","betube",1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-2,-1,-2 
"aleuR","bracan",0,-2,-2,0,-2,-2,-2,0,0,-2,-2,-2,-2,0,0,0 
"cavpO","brasan",-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","briins",-2,0,0,-2,-2,0,0,-2,-2,0,-2,-2,-2,0,0,-2 
"palmO","calriv",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,-2 
"grayO","canlup",2,-2,-2,2,-2,-2,-2,-2,-1,-1,-2,-1,-2,2,-2,-2 
"eastR","canlup",0,0,0,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",2,2,2,2,-1,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2 
"ashmO","cennam",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1 
"cuiuR","chacuj",2,-2,-2,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","charoc",0,0,0,-2,-2,-2,-2,-2,2,2,-2,0,-2,-2,-2,-2 
"flogO","chrflo",-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nortO","cicdor",-1,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2 
"maskR","colvir",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawcO","corhaw",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"amcrR","croacu",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,-2,-2,-2,-2,-2,2,2,2,2,-2,-2,-2,-2,1,-2 
"sccyO","cupabr",0,0,0,-2,-2,0,0,0,0,0,0,-2,-2,-2,0,-2 
"moloO","cyaman",-2,0,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0 
"biplO","cyashi",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-1,-2,-1,-2 
"kauaO","cyrcya",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0 
"biplO","cyrgif",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",1,-2,-2,1,-2,-2,2,-2,-2,1,-2,-2,-2,-2,1,-2 
"kirtR","denkir",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
