"PLAN","SPECIES","347VV","348VV","349VV","350VV","351VV","352VV","353VV","354VV","355VV","356VV","357VV","358VV","359VV","360VV","361VV","362VV","363VV","364VV","365VV","366VV","367VV","368VV","369VV","370VV"
"largO","abrmac",-2,-2,1,-2,-2,-2,1,0,0,-2,-2,1,0,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2 
"lanaO","abuere",0,-2,-2,-2,-2,0,0,-2,0,0,-2,-2,-2,-2,0,-2,0,0,0,-2,-2,-2,-2,-2 
"oahpO","abusan",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",0,0,0,-2,-2,-2,0,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0 
"sensO","aesvir",1,0,-1,1,1,0,0,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,1,-2,0,1,-2 
"dwweO","alahet",0,0,0,0,0,0,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2 
"maplO","alemac",0,0,0,0,0,0,0,-2,0,-2,-2,0,0,-2,0,0,0,0,1,0,0,0,0,-2 
"kauaO","alslyc",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2 
"oahpO","alsobo",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",0,-2,0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,-2,0,0,-2,0,-2,0,-2,-2 
"prpaO","amavit",-1,-1,-1,-2,-2,-2,-1,-1,-1,-2,-1,-2,-1,-2,-1,-1,-2,-1,-2,-1,-2,-1,-2,-2 
"ashmO","ambama",-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,0,-2,-2,-2,-2 
"ozarR","ambros",1,0,0,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,-2 
"sonoR","antame",0,0,0,-2,-2,-2,0,0,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2 
"raveO","archoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1 
"dwbeO","archum",-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"maunO","argsan",1,1,1,-2,-2,-2,0,1,1,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2 
"anthO","athant",0,1,0,1,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2 
"virgR","betube",-2,-2,-2,-2,-2,-2,0,0,-2,-2,-2,0,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",0,0,-2,-2,-2,-2,1,-2,1,1,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,0,0,-2 
"aleuR","bracan",-2,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,0,-2,-2 
"cavpO","brasan",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,-2 
"kaupO","briins",0,0,0,0,0,0,0,0,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"palmO","calriv",0,1,1,1,-2,1,0,1,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,0,-2,0,-2,-2 
"grayO","canlup",0,0,0,0,0,-2,-2,0,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"eastR","canlup",-2,1,1,1,1,-2,1,1,-2,0,1,1,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"ashmO","cennam",0,0,0,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"cuiuR","chacuj",-2,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"pineO","chagar",-2,0,0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"oahpO","charoc",1,1,1,1,1,1,0,0,0,0,-2,0,-2,-2,-2,-2,-2,1,-2,-2,-2,0,0,-2 
"flogO","chrflo",-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2,0,-2,-2 
"nortO","cicdor",0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0 
"maskR","colvir",-2,0,0,-2,-2,-2,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0 
"hawcO","corhaw",0,0,0,0,0,0,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"amcrR","croacu",-2,0,0,-2,-2,-2,0,0,0,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,0,0,0,0,0,0,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"sccyO","cupabr",-2,-2,-2,-2,-2,1,1,1,1,1,-2,-2,-2,-2,-2,-2,1,1,-2,1,-2,1,-2,-2 
"moloO","cyaman",-2,0,0,0,0,-2,-2,0,0,-2,-2,0,0,-2,-2,-2,-2,0,-2,0,0,0,0,-2 
"biplO","cyashi",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",0,0,0,0,-2,0,0,0,0,0,-2,-2,-2,0,0,0,0,0,-2,0,0,0,0,-2 
"kauaO","cyrcya",0,0,0,0,-2,0,0,0,0,0,-2,0,0,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2 
"biplO","cyrgif",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",-2,0,0,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2 
"kirtR","denkir",-2,0,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,0,-2 
"flomO","dicchr",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2 
"tennR","echten",-2,0,0,0,0,0,-2,-2,-2,-2,-2,0,0,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2 
"tarrR","ellste",0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"antiR","erycap",-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","erycun",0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"seveO","erymen",-2,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,0,-2,-2,-2,-2 
"threO","eryter",0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1 
"slacO","ethbos",1,1,1,-2,-2,1,1,1,1,-2,0,0,-2,0,-2,0,-2,-2,-2,0,0,1,1,-2 
"edwaR","ethfon",1,1,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,0,0,0,0,-2 
"wateR","ethnuc",-2,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,-2 
"okalO","ethoka",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"bayoR","ethrub",0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2 
"maryR","ethsel",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"elseO","eupbat",0,-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"edwaR","eurnan",0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,0,-2,-2 
"pereO","falper",0,0,-2,-2,-2,0,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"ampeO","falper",0,0,0,-2,-2,-2,0,0,-2,-2,0,-2,0,0,0,-2,0,-2,-2,0,-2,0,-2,0 
"hawwR","fulame",1,1,1,1,1,1,1,-1,-1,-1,1,-1,-2,1,1,1,1,1,-2,1,1,1,1,-2 
"lanaO","gahlan",-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,0,0,-2,0,-2,-2,0,-2,-2,-2,0,-2,-2 
"hawwR","galchl",0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2 
"edwaR","gamgeo",-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,1,1,-2 
"hawgO","garbri",-2,0,-2,0,-2,-2,1,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"unarR","gasacu",0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"maplO","gerarb",-2,0,0,0,0,-2,0,-2,0,-2,-2,-2,-2,-2,0,0,0,0,-2,0,0,0,0,-2 
"humpR","gilcyp",-2,0,0,0,-2,-2,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"bonyR","gilele",-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0 
"chihO","gilnig",-2,0,0,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0,0,-2 
"fishR","gilpur",-2,-2,0,0,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2 
"whooR","gruame",-2,-2,-2,-2,-2,-2,-2,-2,-2,0,1,-2,-2,1,-2,-2,1,-2,-2,-2,0,-2,0,-2 
"missR","grucan",0,0,0,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"cacoR","gymcal",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"gnomO","gymlin",0,0,0,0,0,0,-2,-2,0,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,0,0 
"todsO","hedtod",1,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","hesarb",0,0,-2,0,-2,0,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2 
"moloO","hibarn",0,0,0,0,-2,0,-2,-2,0,-2,-2,0,0,-2,-2,-2,-2,1,1,-2,-2,0,0,-2 
"kaupO","hibcla",0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","hibwoo",0,0,-2,0,0,0,0,-2,0,-2,-2,0,-2,-2,0,0,-2,0,-2,-2,-2,-2,-2,-2 
"hawwR","himmex",-2,0,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"flscO","hypcum",1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,1,1,1 
"smalR","isomed",1,1,1,1,-2,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"beacO","jacrec",0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,0,-2,0,-2,0,0,0,0,-2 
"oahpO","labcyr",-2,0,0,0,0,-2,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2 
"pinkO","lamabr",0,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"snakO","lanxsp",-2,-2,0,-2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"caroO","lasdec",0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,0,-2,-2 
"praiO","leslep",0,-2,0,-2,-2,1,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","liaohl",-2,0,0,0,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,-2 
"kaupO","lipfau",0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","loboah",0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,-2,0,0,0,0,-2 
"flscR","lupari",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"lotiO","lycarg",0,0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2 
"roleO","lysasp",-2,1,1,-2,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2 
"apalO","macalb",-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"mohrO","marmoh",1,0,0,1,0,0,1,1,1,0,-2,-1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1 
"kaupO","melpal",0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,-2 
"oahpO","melsai",1,1,1,1,1,1,1,1,1,1,-2,-2,-2,-2,-2,1,0,1,1,0,0,0,0,-2 
"armaO","miccal",-2,1,1,1,1,1,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2 
"hualO","micmex",1,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0,-2 
"blacR","musnig",1,1,-2,-2,-2,1,1,1,-2,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2 
"kaufO","myapal",0,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"woodO","mycame",0,0,0,-2,-2,-2,0,0,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,0,-2,-2,-2,-2 
"indiR","myosod",-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,0,0,0,0,-2 
"oahpO","nothum",1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-2,-2,-2 
"capeO","notmek",-2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,-2 
"neosO","notpla",-2,1,0,1,0,1,0,-2,0,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,-2,-2 
