"PLAN","SPECIES","443WWW","444WWW","445WWW","446WWW","447WWW","448WWW","449WWW","450WWW","451WWW","452WWW","453WWW","454WWW","455WWW","456WWW","457WWW","458WWW"
"largO","abrmac",-2,1,1,-2,-2,1,0,0,-2,-2,1,-2,-2,-2,-2,1 
"lanaO","abuere",0,-2,-2,0,-2,-2,1,0,1,1,-2,-2,-2,-2,0,-2 
"oahpO","abusan",-2,1,1,-2,-2,-2,1,-2,-2,0,-2,-2,-2,-2,-2,-2 
"prraO","accstr",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0 
"oahtO","achlil",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nighO","acrlus",1,1,1,1,1,1,-2,-2,-2,1,-2,1,-2,-2,1,-2 
"sensO","aesvir",0,1,1,-1,-1,-1,0,0,0,1,0,0,0,0,1,-2 
"dwweO","alahet",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,-2 
"maplO","alemac",1,1,1,1,-2,1,1,1,1,1,1,-2,-2,1,1,-2 
"kauaO","alslyc",1,1,1,1,1,1,0,0,1,1,1,1,-2,1,-2,0 
"oahpO","alsobo",-2,1,1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",1,1,1,-2,-2,-2,1,1,-2,-2,1,-2,-2,1,-2,-2 
"prpaO","amavit",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1 
"ashmO","ambama",-2,-2,-2,1,-2,-2,-2,-2,1,1,-2,-2,1,-2,-2,-2 
"ozarR","ambros",-2,1,1,-2,1,1,1,-2,1,-2,-2,-2,1,-2,0,-2 
"sonoR","antame",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","apomor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"raveO","archoo",0,-2,-2,0,-2,-2,-1,-1,-1,-1,-1,-1,-2,-1,-1,-2 
"dwbeO","archum",-2,0,-2,1,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2 
"fourO","arcmor",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0 
"maunO","argsan",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2 
"anthO","athant",-2,1,1,-2,1,1,-2,-2,1,0,1,-2,-2,-2,-2,-2 
"virgR","betube",0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flscR","bongra",-2,1,-2,-2,-2,-2,-2,1,-2,-2,1,1,-2,-2,1,-2 
"aleuR","bracan",1,-2,-2,1,-2,-2,-2,0,0,-2,-2,-2,-2,1,0,1 
"cavpO","brasan",-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kaupO","briins",-2,1,1,-2,-2,1,1,-2,-2,1,-2,-2,-2,0,0,-2 
"palmO","calriv",-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,1,-2 
"grayO","canlup",1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,-2 
"eastR","canlup",1,1,1,-2,-2,-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2 
"redwR","canruf",1,1,1,1,-1,1,1,-1,-1,-1,1,-2,-2,-2,-2,-2 
"ashmO","cennam",1,1,1,1,1,1,-1,-1,-1,-1,1,-1,1,1,1,0 
"cuiuR","chacuj",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0 
"pineO","chagar",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"oahpO","charoc",1,1,1,-2,-2,-2,-2,-2,1,1,-2,1,-2,-2,-2,-2 
"flogO","chrflo",-2,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"nortO","cicdor",1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0 
"maskR","colvir",-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"hawcO","corhaw",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2 
"amcrR","croacu",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"newmO","crowil",-2,-2,-2,-2,-2,-2,1,1,1,1,-2,-2,-2,-2,0,-2 
"sccyO","cupabr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"moloO","cyaman",-2,1,1,-2,-2,1,-2,-2,-2,1,-2,-2,-2,-2,-2,1 
"biplO","cyashi",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"fishR","cypfor",-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,1,-2,-2,-2 
"kauaO","cyrcya",1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0 
"biplO","cyrgif",1,1,1,1,1,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahpO","cyrvir",1,-2,-2,1,-2,-2,0,-2,-2,1,-2,-2,-2,-2,1,-2 
"kirtR","denkir",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"flomO","dicchr",1,-2,-2,-2,-2,-2,-2,1,1,-2,-2,-2,-2,-2,1,-2 
"tennR","echten",1,1,1,0,1,0,0,1,-2,-2,1,0,-2,0,0,0 
"tarrR","ellste",-2,1,-2,-2,1,-2,1,1,-2,-2,1,-2,-2,-2,-2,-2 
"cavpO","eryari",-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"antiR","erycap",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
