"PLAN","SPECIES","347XX","348XX","349XX","350XX","351XX","352XX","353XX","354XX","355XX","356XX","357XX","358XX","359XX","360XX","361XX","362XX","363XX","364XX","365XX","366XX","367XX","368XX","369XX","370XX"
"largO","abrmac",-2,-2,12,-2,-2,-2,12,12,-3,-2,-2,12,12,-2,12,-2,12,-2,-2,-2,-2,-2,-2,-2 
"lanaO","abuere",12,-2,-2,-2,-2,12,3,-2,3,3,-2,-2,-2,-2,12,-2,-2,12,-2,-2,-2,-2,-2,-2 
"oahpO","abusan",-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"prraO","accstr",12,12,12,-2,-2,-2,12,12,12,-2,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"oahtO","achlil",-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"nighO","acrlus",-2,12,12,-2,-2,-2,12,12,-2,12,-2,-2,12,-2,12,-2,-2,12,-2,12,12,12,12,-2 
"sensO","aesvir",12,3,-1,12,12,-1,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,12,12,-2 
"dwweO","alahet",12,12,12,12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,12,-2,-2 
"maplO","alemac",12,12,12,12,12,12,3,-2,2,-2,-2,3,2,-2,3,3,4,12,3,3,3,3,3,-2 
"kauaO","alslyc",12,12,12,12,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-3,-2,-2,-2,-2,-2,-2 
"oahpO","alsobo",-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
"kauaO","alsvis",12,-2,-2,12,-2,12,-2,-2,-2,12,-2,-2,-2,-2,3,-2,12,3,-2,-2,-2,-2,-2,-2 
"prpaO","amavit",12,12,12,-2,-2,-2,12,12,12,-2,12,-2,12,-2,12,12,-2,3,-2,12,-2,12,-2,-2 
"ashmO","ambama",-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2 
"ozarR","ambros",10,10,10,10,10,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,10,-2,12,12,-2 
"sonoR","antame",3,12,-3,-3,-3,-3,3,3,-3,-2,3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3 
"antiR","apomor",-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,12,-2,12,-2,-2 
"raveO","archoo",-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,-2,2,2,2 
"dwbeO","archum",-2,12,12,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2 
