PlCode,SpCode,PopStat96Ordinal
largO,abrmac,0
lanaO,abuere,2
oahpO,abusan,2
prraO,accstr,1
oahtO,achlil,1
nighO,acrlus,2
sensO,aesvir,2
dwweO,alahet,1
maplO,alemac,1
kauaO,alslyc,-2
oahpO,alsobo,1
kauaO,alsvis,-2
prpaO,amavit,2
ashmO,ambama,3
ozarR,ambros,2
sonoR,antame,0
antiR,apomor,2
raveO,archoo,2
dwbeO,archum,1
fourO,arcmor,-2
maunO,argsan,1
anthO,athant,2
virgR,betube,3
flscR,bongra,3
aleuR,bracan,3
cavpO,brasan,-2
kaupO,briins,1
palmO,calriv,2
eastR,canlup,3
grayO,canlup,3
redwR,canruf,3
ashmO,cennam,3
cuiuR,chacuj,3
pineO,chagar,2
oahpO,charoc,-2
flogO,chrflo,2
nortO,cicdor,1
maskR,colvir,3
hawcO,corhaw,2
amcrR,croacu,2
newmO,crowil,2
sccyO,cupabr,2
moloO,cyaman,0
biplO,cyashi,1
fishR,cypfor,1
kauaO,cyrcya,-2
biplO,cyrgif,0
oahpO,cyrvir,-2
kirtR,denkir,3
flomO,dicchr,1
tennR,echten,3
tarrR,ellste,1
cavpO,eryari,1
antiR,erycap,2
flscR,erycun,1
seveO,erymen,2
threO,eryter,1
slacO,ethbos,0
edwaR,ethfon,1
wateR,ethnuc,2
okalO,ethoka,1
bayoR,ethrub,2
maryR,ethsel,0
elseO,eupbat,1
edwaR,eurnan,1
ampeO,falper,3
pereO,falper,3
hawwR,fulame,2
lanaO,gahlan,2
hawwR,galchl,2
edwaR,gamgeo,-1
hawgO,garbri,2
unarR,gasacu,0
maplO,gerarb,-2
humpR,gilcyp,2
bonyR,gilele,1
chihO,gilnig,3
fishR,gilpur,2
whooR,gruame,3
missR,grucan,2
cacoR,gymcal,3
gnomO,gymlin,1
todsO,hedtod,3
oahpO,hesarb,0
moloO,hibarn,1
kaupO,hibcla,0
kauaO,hibwoo,-2
hawwR,himmex,2
flscO,hypcum,1
smalR,isomed,3
beacO,jacrec,0
oahpO,labcyr,-2
pinkO,lamabr,1
snakO,lanxsp,2
caroO,lasdec,1
praiO,leslep,3
flscR,liaohl,0
kaupO,lipfau,0
oahpO,loboah,1
flscR,lupari,1
lotiO,lycarg,0
roleO,lysasp,0
apalO,macalb,0
mohrO,marmoh,3
kaupO,melpal,0
oahpO,melsai,-2
armaO,miccal,0
hualO,micmex,0
blacR,musnig,3
kaufO,myapal,1
woodO,mycame,3
indiR,myosod,1
oahpO,nothum,2
capeO,notmek,2
neosO,notpla,-2
ringO,oboret,1
keydR,odvicl,1
coluR,odvile,3
antiR,oendel,1
arizR,oncapa,2
grcuR,onccla,3
gilaR,oncgil,0
nashR,orcsho,0
flscR,parcha,2
mamoO,parfla,0
bradO,pedbra,0
furbR,pedfur,2
prcrO,pellem,1
anasO,perpol,2
snaiR,pertan,0
lanaO,phygla,0
biadO,phyrac,-2
redcR,picbor,3
ropiO,pleple,1
shenO,pleshe,1
fishR,poeocc,1
cavpO,pognud,1
flscR,polbas,1
fatpR,potcap,3
littO,potcly,1
flscR,prugen,1
guamO,ptemar,1
harpO,ptinod,2
coloR,ptyluc,2
flopR,pumcon,2
alamO,pyrneo,0
tombO,quasta,1
saltO,raloob,1
yumaO,raloyu,2
selkR,rantar,1
kendO,rhiosc,2
chapO,rhocha,2
everR,rossoc,2
grpiR,sarore,3
pallO,scaalb,1
maplO,schhal,0
oahpO,schkaa,0
oahpO,schkea,-2
kaupO,schspe,0
delmR,scinig,3
enruO,soldry,1
hougO,solhou,2
alabR,spepou,2
caleO,steant,2
kaupO,stecam,0
mexiO,strocc,0
loweO,sylpal,1
lanaO,tetrem,0
karsO,texred,0
coolO,thacoo,2
pedaO,theste,1
soccO,thethe,2
prfeO,theyau,0
westR,triman,1
bariO,tritri,2
attwR,tymcup,1
grizR,ursarc,2
flscR,warcar,1
cachO,xanriv,3
flscR,zizcel,1
edwaR,ziztex,1
